"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CANDARAVE (000)",2443,21,72,195,347,539,666,603
"De 12 a 14 años (001)",2,,,,,,,2
"De 15 a 19 años (002)",53,,,,,,37,16
"De 20 a 24 años (003)",205,,,,,3,115,87
"De 25 a 29 años (004)",263,,,,,18,161,84
"De 30 a 34 años (005)",308,,,,,72,156,80
"De 35 a 39 años (006)",275,,,,5,121,106,43
"De 40 a 44 años (007)",251,,,,30,125,60,36
"De 45 a 49 años (008)",219,,,1,69,95,25,29
"De 50 y más años (009)",867,21,72,194,243,105,6,226
"Sin nivel (010)",542,15,44,100,120,82,28,153
"De 20 a 24 años (013)",1,,,,,,,1
"De 30 a 34 años (015)",15,,,,,2,9,4
"De 35 a 39 años (016)",14,,,,,9,3,2
"De 40 a 44 años (017)",36,,,,1,18,9,8
"De 45 a 49 años (018)",34,,,,11,14,6,3
"De 50 y más años (019)",442,15,44,100,108,39,1,135
"Educacion Inicial (020)",2,,,,,,2,
"De 30 a 34 años (025)",1,,,,,,1,
"De 35 a 39 años (026)",1,,,,,,1,
"Primaria (030)",992,6,26,83,187,291,200,199
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",9,,,,,,5,4
"De 20 a 24 años (033)",27,,,,,1,15,11
"De 25 a 29 años (034)",61,,,,,8,32,21
"De 30 a 34 años (035)",119,,,,,34,59,26
"De 35 a 39 años (036)",130,,,,4,62,43,21
"De 40 a 44 años (037)",131,,,,19,63,30,19
"De 45 a 49 años (038)",145,,,1,43,65,15,21
"De 50 y más años (039)",368,6,26,82,121,58,1,74
"Secundaria (040)",709,,2,7,33,128,361,178
"De 15 a 19 años (042)",41,,,,,,29,12
"De 20 a 24 años (043)",153,,,,,2,93,58
"De 25 a 29 años (044)",152,,,,,7,104,41
"De 30 a 34 años (045)",135,,,,,32,70,33
"De 35 a 39 años (046)",95,,,,,39,44,12
"De 40 a 44 años (047)",59,,,,9,29,14,7
"De 45 a 49 años (048)",31,,,,12,12,4,3
"De 50 y más años (049)",43,,2,7,12,7,3,12
"Sup. no Univ. incompleta (050)",43,,,,1,5,21,16
"De 15 a 19 años (052)",2,,,,,,2,
"De 20 a 24 años (053)",9,,,,,,3,6
"De 25 a 29 años (054)",21,,,,,2,12,7
"De 30 a 34 años (055)",6,,,,,,4,2
"De 35 a 39 años (056)",2,,,,,2,,
"De 40 a 44 años (057)",2,,,,1,1,,
"De 50 y más años (059)",1,,,,,,,1
"Sup. no Univ. completa (060)",59,,,2,2,15,21,19
"De 20 a 24 años (063)",9,,,,,,4,5
