"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1225,7,1,46,257,112,352,126,324
"Enseñanza (082)",1412,,,3,80,89,461,85,694
"Servicios sociales y de salud (083)",615,8,,20,48,40,161,24,314
"Otras activ. serv.comun.soc y personales (084)",848,18,1,97,307,84,136,89,116
"Hogares privados con servicio doméstico (085)",646,21,1,111,373,58,44,19,19
"Actividad economica no especificada (087)",1234,18,1,119,400,119,226,110,241
"Hombres (088)",16173,111,9,1433,6319,1677,2943,1201,2480
"Agric., ganadería, caza y silvicultura (089)",142,4,,32,53,13,17,9,14
"Pesca (090)",2073,12,1,194,1163,237,257,84,125
"Explotación de minas y canteras (091)",930,2,,73,288,60,216,83,208
"Industrias manufactureras (092)",1533,6,,120,594,205,328,89,191
"Suministro de electricidad, gas y agua (093)",177,,,3,32,16,56,15,55
"Construcción (094)",2270,23,1,312,1051,209,336,129,209
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2431,26,4,261,842,254,511,209,324
"Venta, mant.y rep. veh.autom.y motoc. (096)",782,2,1,41,219,93,242,61,123
"Comercio al por mayor (097)",149,1,1,7,43,23,26,18,30
"Comercio al por menor (098)",1500,23,2,213,580,138,243,130,171
"Hoteles y restaurantes (099)",386,4,1,45,164,51,43,40,38
"Trans., almac. y comunicaciones (100)",2326,18,,195,1160,255,349,145,204
