"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DANIEL ALCIDES CARRION (000)",47634,27802,19832
"Casa independiente (001)",44319,26675,17644
"Departamento en edificio (002)",16,16,
"Vivienda en quinta (003)",581,581,
"Vivienda en casa de vecindad (004)",514,514,
"Choza o cabaña (005)",2158,,2158
"Local no dest.para hab. humana (007)",36,10,26
"Otro tipo (008)",10,6,4
