"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,1171,18,4992,8216,568,497,318,580
"Agric., ganadería, caza y silvicultura (001)",3588,777,,1639,1080,32,24,18,18
"Explotación de minas y canteras (003)",7823,160,12,1998,4834,302,208,167,142
"Industrias manufactureras (004)",341,19,,98,175,16,15,9,9
"Suministro de electricidad, gas y agua (005)",12,,,1,3,1,2,1,4
"Construcción (006)",550,43,2,167,280,21,9,6,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1871,89,,629,905,75,76,47,50
"Venta, mant.y rep. veh.autom.y motoc. (008)",71,3,,10,38,3,8,2,7
"Comercio al por mayor (009)",59,3,,15,32,1,2,2,4
"Comercio al por menor (010)",1741,83,,604,835,71,66,43,39
"Hoteles y restaurantes (011)",471,30,2,132,264,16,8,12,7
"Trans., almac. y comunicaciones (012)",191,2,,36,119,10,7,8,9
"Intermediación financiera (013)",19,1,,3,9,2,2,1,1
"Activid.inmobil., empres. y de alquiler (014)",91,2,,12,35,7,6,5,24
"Admin.pub. y defensa; p. segur.soc.afil (015)",162,2,,16,48,18,28,14,36
"Enseñanza (016)",337,,,1,23,27,81,11,194
"Servicios sociales y de salud (017)",83,,,12,13,4,13,3,38
"Otras activ. serv.comun.soc y personales (018)",117,8,,23,69,4,3,2,8
"Hogares privados con servicio doméstico (019)",181,12,,65,89,8,2,3,2
"Actividad economica no especificada (021)",523,26,2,160,270,25,13,11,16
"Hombres (022)",12036,522,12,3315,6627,459,390,255,456
"Agric., ganadería, caza y silvicultura (023)",2414,363,,1117,854,28,21,15,16
"Explotación de minas y canteras (025)",6970,82,8,1607,4491,289,194,161,138
"Industrias manufactureras (026)",228,2,,55,133,12,14,3,9
"Suministro de electricidad, gas y agua (027)",9,,,,2,1,2,,4
"Construcción (028)",540,43,2,161,278,21,8,6,21
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",661,11,,187,348,30,38,24,23
"Venta, mant.y rep. veh.autom.y motoc. (030)",63,,,9,35,3,8,2,6
"Comercio al por mayor (031)",27,,,8,15,1,1,,2
"Comercio al por menor (032)",571,11,,170,298,26,29,22,15
"Hoteles y restaurantes (033)",144,7,1,24,93,6,2,8,3
"Trans., almac. y comunicaciones (034)",164,1,,36,102,8,6,4,7
"Intermediación financiera (035)",12,,,3,6,1,1,,1
"Activid.inmobil., empres. y de alquiler (036)",80,1,,9,32,6,6,4,22
"Admin.pub. y defensa; p. segur.soc.afil (037)",132,,,14,41,13,23,9,32
"Enseñanza (038)",243,,,1,13,19,59,8,143
"Servicios sociales y de salud (039)",35,,,3,5,3,5,3,16
"Otras activ. serv.comun.soc y personales (040)",55,1,,9,32,3,3,2,5
"Hogares privados con servicio doméstico (041)",39,2,,13,16,3,1,2,2
"Actividad economica no especificada (043)",310,9,1,76,181,16,7,6,14
"Mujeres (044)",4324,649,6,1677,1589,109,107,63,124
"Agric., ganadería, caza y silvicultura (045)",1174,414,,522,226,4,3,3,2
