"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia TACNA",,,,
"Viviendas particulares (001)",64297,50215,2611,11471
"Ocupantes presentes (002)",238156,199790,8582,29784
"Casa independiente",,,,
"Viviendas particulares (004)",56978,47265,2103,7610
"Ocupantes presentes (005)",217658,190665,7186,19807
"Departamento en edificio",,,,
"Viviendas particulares (007)",2225,2035,190,
"Ocupantes presentes (008)",6744,6235,509,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",393,294,99,
"Ocupantes presentes (011)",1222,965,257,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",397,238,126,33
"Ocupantes presentes (014)",1334,862,385,87
"Choza o cabaña",,,,
"Viviendas particulares (016)",100,,,100
"Ocupantes presentes (017)",317,,,317
"Vivienda improvisada",,,,
"Viviendas particulares (019)",4088,297,84,3707
"Ocupantes presentes (020)",10608,862,221,9525
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",108,86,9,13
"Ocupantes presentes (023)",259,201,24,34
"Otro tipo",,,,
"Viviendas particulares (025)",8,,,8
"Ocupantes presentes (026)",14,,,14
Si,,,,
"Viviendas particulares (028)",61084,48689,2407,9988
"Ocupantes presentes (029)",227652,193745,8006,25901
"Casa independiente",,,,
"Viviendas particulares (031)",54256,45820,1927,6509
"Ocupantes presentes (032)",208498,184854,6690,16954
"Departamento en edificio",,,,
"Viviendas particulares (034)",2169,1985,184,
"Ocupantes presentes (035)",6576,6088,488,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",377,285,92,
"Ocupantes presentes (038)",1174,939,235,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",384,236,123,25
"Ocupantes presentes (041)",1290,856,374,60
"Choza o cabaña",,,,
"Viviendas particulares (043)",95,,,95
"Ocupantes presentes (044)",306,,,306
"Vivienda improvisada",,,,
"Viviendas particulares (046)",3692,279,74,3339
"Ocupantes presentes (047)",9544,812,198,8534
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",104,84,7,13
"Ocupantes presentes (050)",251,196,21,34
"Otro tipo",,,,
"Viviendas particulares (052)",7,,,7
"Ocupantes presentes (053)",13,,,13
No,,,,
"Viviendas particulares (055)",3213,1526,204,1483
"Ocupantes presentes (056)",10504,6045,576,3883
"Casa independiente",,,,
"Viviendas particulares (058)",2722,1445,176,1101
"Ocupantes presentes (059)",9160,5811,496,2853
"Departamento en edificio",,,,
"Viviendas particulares (061)",56,50,6,
"Ocupantes presentes (062)",168,147,21,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",16,9,7,
"Ocupantes presentes (065)",48,26,22,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",13,2,3,8
"Ocupantes presentes (068)",44,6,11,27
"Choza o cabaña",,,,
"Viviendas particulares (070)",5,,,5
"Ocupantes presentes (071)",11,,,11
"Vivienda improvisada",,,,
"Viviendas particulares (073)",396,18,10,368
"Ocupantes presentes (074)",1064,50,23,991
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",4,2,2,
"Ocupantes presentes (077)",8,5,3,
"Otro tipo",,,,
"Viviendas particulares (079)",1,,,1
"Ocupantes presentes (080)",1,,,1
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",63468,49776,2421,11271
"Ocupantes presentes (110)",235350,198260,7931,29159
"Casa independiente",,,,
"Viviendas particulares (112)",56251,46827,1914,7510
"Ocupantes presentes (113)",215172,189136,6537,19499
"Departamento en edificio",,,,
"Viviendas particulares (115)",2225,2035,190,
"Ocupantes presentes (116)",6744,6235,509,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",393,294,99,
"Ocupantes presentes (119)",1222,965,257,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",397,238,126,33
"Ocupantes presentes (122)",1334,862,385,87
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",4088,297,84,3707
"Ocupantes presentes (128)",10608,862,221,9525
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",106,85,8,13
"Ocupantes presentes (131)",256,200,22,34
"Otro tipo",,,,
"Viviendas particulares (133)",8,,,8
"Ocupantes presentes (134)",14,,,14
Si,,,,
"Viviendas particulares (136)",60335,48280,2228,9827
"Ocupantes presentes (137)",225082,192312,7382,25388
"Casa independiente",,,,
"Viviendas particulares (139)",53603,45412,1748,6443
"Ocupantes presentes (140)",206235,183422,6066,16747
"Departamento en edificio",,,,
"Viviendas particulares (142)",2169,1985,184,
"Ocupantes presentes (143)",6576,6088,488,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",377,285,92,
"Ocupantes presentes (146)",1174,939,235,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",384,236,123,25
"Ocupantes presentes (149)",1290,856,374,60
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",3692,279,74,3339
"Ocupantes presentes (155)",9544,812,198,8534
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",103,83,7,13
"Ocupantes presentes (158)",250,195,21,34
"Otro tipo",,,,
"Viviendas particulares (160)",7,,,7
"Ocupantes presentes (161)",13,,,13
No,,,,
"Viviendas particulares (163)",3133,1496,193,1444
"Ocupantes presentes (164)",10268,5948,549,3771
"Casa independiente",,,,
"Viviendas particulares (166)",2648,1415,166,1067
"Ocupantes presentes (167)",8937,5714,471,2752
"Departamento en edificio",,,,
"Viviendas particulares (169)",56,50,6,
"Ocupantes presentes (170)",168,147,21,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",16,9,7,
"Ocupantes presentes (173)",48,26,22,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",13,2,3,8
"Ocupantes presentes (176)",44,6,11,27
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",396,18,10,368
"Ocupantes presentes (182)",1064,50,23,991
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",3,2,1,
"Ocupantes presentes (185)",6,5,1,
"Otro tipo",,,,
"Viviendas particulares (187)",1,,,1
"Ocupantes presentes (188)",1,,,1
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",829,439,190,200
"Ocupantes presentes (218)",2806,1530,651,625
"Casa independiente",,,,
"Viviendas particulares (220)",727,438,189,100
"Ocupantes presentes (221)",2486,1529,649,308
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",100,,,100
"Ocupantes presentes (233)",317,,,317
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,1,1,
"Ocupantes presentes (239)",3,1,2,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",749,409,179,161
"Ocupantes presentes (245)",2570,1433,624,513
"Casa independiente",,,,
"Viviendas particulares (247)",653,408,179,66
"Ocupantes presentes (248)",2263,1432,624,207
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",95,,,95
"Ocupantes presentes (260)",306,,,306
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",80,30,11,39
"Ocupantes presentes (272)",236,97,27,112
"Casa independiente",,,,
"Viviendas particulares (274)",74,30,10,34
"Ocupantes presentes (275)",223,97,25,101
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",5,,,5
"Ocupantes presentes (287)",11,,,11
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (292)",1,,1,
"Ocupantes presentes (293)",2,,2,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
