"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia CAMANA",,,,,,,,,
"Viviendas particulares (001)",14463,4621,3773,2778,1581,766,399,223,322
"Ocupantes presentes (002)",52061,13112,13686,10824,6665,3389,1866,1016,1503
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",12672,3411,3487,2600,1493,748,394,219,320
"Ocupantes presentes (005)",46744,9933,12637,10193,6327,3319,1849,993,1493
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",231,18,28,109,59,10,5,1,1
"Ocupantes presentes (008)",782,37,100,357,219,37,17,13,2
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",129,87,14,11,11,2,,3,1
"Ocupantes presentes (011)",372,216,54,38,41,5,,10,8
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",202,149,37,9,5,2,,,
"Ocupantes presentes (014)",629,396,161,37,26,9,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1072,850,168,41,9,4,,,
"Ocupantes presentes (017)",3054,2257,572,165,41,19,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",104,59,37,6,2,,,,
"Ocupantes presentes (020)",367,178,157,24,8,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",17,11,2,2,2,,,,
"Ocupantes presentes (023)",40,22,5,10,3,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",36,36,,,,,,,
"Ocupantes presentes (026)",73,73,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",11735,3057,3092,2494,1459,721,383,215,314
"Ocupantes presentes (029)",43808,9051,11441,9733,6144,3186,1795,988,1470
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",11031,2711,2974,2357,1381,707,378,211,312
"Ocupantes presentes (032)",41576,8158,10964,9267,5849,3135,1778,965,1460
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",231,18,28,109,59,10,5,1,1
"Ocupantes presentes (035)",782,37,100,357,219,37,17,13,2
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",129,87,14,11,11,2,,3,1
"Ocupantes presentes (038)",372,216,54,38,41,5,,10,8
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",202,149,37,9,5,2,,,
"Ocupantes presentes (041)",629,396,161,37,26,9,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",104,59,37,6,2,,,,
"Ocupantes presentes (047)",367,178,157,24,8,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",13,8,2,2,1,,,,
"Ocupantes presentes (050)",31,15,5,10,1,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",25,25,,,,,,,
"Ocupantes presentes (053)",51,51,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2728,1564,681,284,122,45,16,8,8
"Ocupantes presentes (056)",8253,4061,2245,1091,521,203,71,28,33
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1641,700,513,243,112,41,16,8,8
"Ocupantes presentes (059)",5168,1775,1673,926,478,184,71,28,33
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1072,850,168,41,9,4,,,
"Ocupantes presentes (071)",3054,2257,572,165,41,19,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,3,,,1,,,,
"Ocupantes presentes (077)",9,7,,,2,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",11,11,,,,,,,
"Ocupantes presentes (080)",22,22,,,,,,,
