"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYLAS (000)",16097,12416,935,792,1954
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,4,9,36
"Profes., científicos e intelectuales (002)",1043,246,132,203,462
"Técnicos de nivel medio y trab. asimilados (003)",372,152,33,32,155
"Jefes y empleados de oficina (004)",423,72,27,54,270
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1623,1457,65,18,83
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5195,5087,98,2,8
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",735,528,102,48,57
"Obreros construc.,conf.,papel, fab., instr. (008)",983,766,91,57,69
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5317,3863,373,365,716
"Otra (010)",87,,,,87
"Ocupación no especificada (011)",270,245,10,4,11
"Hombres (012)",11691,9165,729,569,1228
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,,1,7,28
"Profes., científicos e intelectuales (014)",526,127,61,109,229
"Técnicos de nivel medio y trab. asimilados (015)",227,100,22,27,78
"Jefes y empleados de oficina (016)",209,33,13,26,137
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",632,511,39,13,69
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4794,4692,92,2,8
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",662,472,100,41,49
"Obreros construc.,conf.,papel, fab., instr. (020)",969,758,89,56,66
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3470,2406,306,285,473
"Otra (022)",85,,,,85
"Ocupación no especificada (023)",81,66,6,3,6
"Mujeres (024)",4406,3251,206,223,726
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,,3,2,8
"Profes., científicos e intelectuales (026)",517,119,71,94,233
"Técnicos de nivel medio y trab. asimilados (027)",145,52,11,5,77
"Jefes y empleados de oficina (028)",214,39,14,28,133
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",991,946,26,5,14
"Agricult.trabaj.calif.agrop.y pesqueros (030)",401,395,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",73,56,2,7,8
"Obreros construc.,conf.,papel, fab., instr. (032)",14,8,2,1,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1847,1457,67,80,243
