"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUALGAYOC (000)",42079,29,1455,436,244,1316,15529,8688,1481,12442,53,406
"Agric., ganadería, caza y silvicultura (001)",26173,,4,7,,,15526,,1,10635,,
"Pesca (002)",4,,,,,,3,,,1,,
"Explotación de minas y canteras (003)",1394,8,66,162,57,13,,452,199,437,,
"Industrias manufactureras (004)",8616,,2,12,1,3,,8103,492,3,,
"Suministro de electricidad, gas y agua (005)",21,,1,,2,,,11,2,5,,
"Construcción (006)",474,,10,2,2,,,31,280,149,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1586,,4,28,,1074,,83,6,391,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",71,,1,3,,14,,44,6,3,,
"Comercio al por mayor (009)",43,,,3,,40,,,,,,
"Comercio al por menor (010)",1472,,3,22,,1020,,39,,388,,
"Hoteles y restaurantes (011)",295,,1,16,,160,,1,,117,,
"Trans., almac. y comunicaciones (012)",550,1,1,14,9,,,1,477,47,,
"Intermediación financiera (013)",13,,3,3,7,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",127,,17,19,30,25,,2,10,24,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",283,8,17,23,69,26,,3,13,71,53,
"Enseñanza (016)",1273,12,1233,3,19,,,,,6,,
"Servicios sociales y de salud (017)",211,,80,103,18,3,,1,1,5,,
"Otras activ. serv.comun.soc y personales (018)",228,,13,41,11,12,,,,151,,
"Hogares privados con servicio doméstico (019)",399,,,,,,,,,399,,
"Actividad economica no especificada (021)",432,,3,3,19,,,,,1,,406
"Hombres (022)",22962,25,820,329,154,554,11481,2097,1109,6181,52,160
"Agric., ganadería, caza y silvicultura (023)",16764,,4,7,,,11481,,1,5271,,
"Pesca (024)",1,,,,,,,,,1,,
"Explotación de minas y canteras (025)",1258,8,52,153,41,11,,436,197,360,,
"Industrias manufactureras (026)",1669,,1,8,,1,,1529,130,,,
"Suministro de electricidad, gas y agua (027)",19,,1,,1,,,11,2,4,,
"Construcción (028)",461,,10,1,2,,,31,277,140,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",750,,4,14,,455,,83,6,188,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",67,,1,3,,10,,44,6,3,,
"Comercio al por mayor (031)",29,,,1,,28,,,,,,
"Comercio al por menor (032)",654,,3,10,,417,,39,,185,,
"Hoteles y restaurantes (033)",72,,1,10,,28,,,,33,,
"Trans., almac. y comunicaciones (034)",535,1,1,12,8,,,1,472,40,,
"Intermediación financiera (035)",9,,2,2,5,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",92,,14,15,16,25,,2,10,10,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",230,7,15,13,43,26,,3,13,58,52,
"Enseñanza (038)",692,9,667,2,10,,,,,4,,
"Servicios sociales y de salud (039)",108,,36,56,9,2,,1,1,3,,
"Otras activ. serv.comun.soc y personales (040)",110,,9,33,6,6,,,,56,,
"Hogares privados con servicio doméstico (041)",12,,,,,,,,,12,,
"Actividad economica no especificada (043)",180,,3,3,13,,,,,1,,160
"Mujeres (044)",19117,4,635,107,90,762,4048,6591,372,6261,1,246
"Agric., ganadería, caza y silvicultura (045)",9409,,,,,,4045,,,5364,,
"Pesca (046)",3,,,,,,3,,,,,
"Explotación de minas y canteras (047)",136,,14,9,16,2,,16,2,77,,
