"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANTA (000)",375430,13629,35022,41031,39207,68467,60096,90757,27221
"Sabe leer y escribir (001)",342344,,28218,40735,38883,67686,59111,85964,21747
"No sabe leer y escribir (002)",33086,13629,6804,296,324,781,985,4793,5474
"Hombres (004)",187062,7015,17840,20768,19801,34053,29364,44153,14068
"Sabe leer y escribir (005)",173342,,14260,20611,19647,33710,29057,43168,12889
"No sabe leer y escribir (006)",13720,7015,3580,157,154,343,307,985,1179
"Mujeres (008)",188368,6614,17182,20263,19406,34414,30732,46604,13153
"Sabe leer y escribir (009)",169002,,13958,20124,19236,33976,30054,42796,8858
"No sabe leer y escribir (010)",19366,6614,3224,139,170,438,678,3808,4295
,,,,,,,,,
"URBANA (012)",351058,12532,32307,37862,36666,64284,56705,85510,25192
"Sabe leer y escribir (013)",322069,,26217,37616,36383,63661,55939,81648,20605
"No sabe leer y escribir (014)",28989,12532,6090,246,283,623,766,3862,4587
"Hombres (016)",173978,6445,16379,19097,18401,31829,27536,41287,13004
"Sabe leer y escribir (017)",161886,,13180,18968,18266,31545,27284,40548,12095
"No sabe leer y escribir (018)",12092,6445,3199,129,135,284,252,739,909
"Mujeres (020)",177080,6087,15928,18765,18265,32455,29169,44223,12188
"Sabe leer y escribir (021)",160183,,13037,18648,18117,32116,28655,41100,8510
"No sabe leer y escribir (022)",16897,6087,2891,117,148,339,514,3123,3678
,,,,,,,,,
"RURAL (024)",24372,1097,2715,3169,2541,4183,3391,5247,2029
"Sabe leer y escribir (025)",20275,,2001,3119,2500,4025,3172,4316,1142
"No sabe leer y escribir (026)",4097,1097,714,50,41,158,219,931,887
"Hombres (028)",13084,570,1461,1671,1400,2224,1828,2866,1064
"Sabe leer y escribir (029)",11456,,1080,1643,1381,2165,1773,2620,794
"No sabe leer y escribir (030)",1628,570,381,28,19,59,55,246,270
"Mujeres (032)",11288,527,1254,1498,1141,1959,1563,2381,965
"Sabe leer y escribir (033)",8819,,921,1476,1119,1860,1399,1696,348
"No sabe leer y escribir (034)",2469,527,333,22,22,99,164,685,617
