"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PATAZ (000)",20099,4969,15130
"Casa independiente (001)",19315,4762,14553
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",52,52,
"Vivienda en casa de vecindad (004)",122,122,
"Choza o cabaña (005)",564,,564
"Vivienda improvisada (006)",22,22,
"Local no dest.para hab. humana (007)",15,6,9
"Otro tipo (008)",4,,4
