"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN IGNACIO (000)",43839,40486,1800,944,609
"Agric., ganadería, caza y silvicultura (001)",34615,33578,938,90,9
"Pesca (002)",7,7,,,
"Explotación de minas y canteras (003)",19,18,,,1
"Industrias manufactureras (004)",583,551,23,6,3
"Suministro de electricidad, gas y agua (005)",60,5,4,51,
"Construcción (006)",671,478,117,68,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1962,1884,59,17,2
"Venta, mant.y rep. veh.autom y motoc. (008)",134,121,7,5,1
"Comercio al por mayor (009)",128,112,13,2,1
"Comercio al por menor (010)",1700,1651,39,10,
"Hoteles y restaurantes (011)",487,461,19,7,
"Trans., almac. y comunicaciones (012)",789,681,57,37,14
"Intermediación financiera (013)",9,5,,2,2
"Activid.inmobil., empres. y alquileres (014)",236,129,36,47,24
"Admin.pub. y defensa; p. segur soc.afil (015)",316,,,,316
"Enseñanza (016)",1739,706,417,552,64
"Servicios sociales y de salud (017)",267,100,22,11,134
"Otras activ. serv.comun.soc y personales (018)",288,227,31,15,15
"Hogares privados con servicio doméstico (019)",449,449,,,
"Actividad economica no especificada (021)",1342,1207,77,41,17
"Hombres (022)",35163,32798,1310,614,441
"Agric., ganadería, caza y silvicultura (023)",30054,29192,781,73,8
"Pesca (024)",6,6,,,
"Explotación de minas y canteras (025)",14,13,,,1
"Industrias manufactureras (026)",422,401,15,3,3
"Suministro de electricidad, gas y agua (027)",58,3,4,51,
"Construcción (028)",660,469,116,67,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1228,1177,38,12,1
"Venta, mant.y rep. veh.autom y motoc. (030)",123,110,7,5,1
"Comercio al por mayor (031)",92,80,11,1,
"Comercio al por menor (032)",1013,987,20,6,
"Hoteles y restaurantes (033)",101,89,9,3,
"Trans., almac. y comunicaciones (034)",758,658,52,37,11
"Intermediación financiera (035)",6,4,,1,1
"Activid.inmobil., empres. y alquileres (036)",131,68,23,26,14
"Admin.pub. y defensa; p. segur soc.afil (037)",273,,,,273
"Enseñanza (038)",823,253,222,306,42
"Servicios sociales y de salud (039)",126,54,11,2,59
"Otras activ. serv.comun.soc y personales (040)",159,121,19,9,10
"Hogares privados con servicio doméstico (041)",31,31,,,
"Actividad economica no especificada (043)",313,259,20,24,10
