"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUAMANGA (000)",75111,21482,9687,31604,1247,5723,1540,3828
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",178,152,,,26,,,
"Profes., científicos e intelectuales (002)",10569,9019,,1406,115,29,,
"Técnicos de nivel medio y trab. asimilados (003)",3796,2371,,1191,177,55,2,
"Jefes y empleados de oficina (004)",3039,2996,,24,2,17,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",12522,2964,70,7907,279,1300,2,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9176,2,2,8903,269,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",5701,,1678,3618,178,227,,
"Obreros construc.,conf.,papel, fab., instr. (008)",6887,1011,2212,3463,116,85,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16572,1755,5234,4217,40,3790,1536,
"Otra (010)",708,708,,,,,,
"Ocupaciñn no especificada (011)",2135,504,491,875,45,220,,
"Desocupado (012)",3828,,,,,,,3828
"Hombres (013)",45899,11865,8136,19868,881,2557,72,2520
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",122,103,,,19,,,
"Profes., científicos e intelectuales (015)",5501,4505,,893,88,15,,
"Técnicos de nivel medio y trab. asimilados (016)",2476,1449,,879,126,22,,
"Jefes y empleados de oficina (017)",1549,1522,,18,2,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",4353,1484,38,2445,120,265,1,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",7836,2,2,7598,234,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",4606,,1416,2904,145,141,,
"Obreros construc.,conf.,papel, fab., instr. (021)",6655,1002,2145,3321,110,77,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",8461,861,4136,1424,13,1956,71,
"Otra (023)",648,648,,,,,,
"Ocupaciñn no especificada (024)",1172,289,399,386,24,74,,
"Desocupado (025)",2520,,,,,,,2520
"Mujeres (026)",29212,9617,1551,11736,366,3166,1468,1308
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",56,49,,,7,,,
"Profes., científicos e intelectuales (028)",5068,4514,,513,27,14,,
"Técnicos de nivel medio y trab. asimilados (029)",1320,922,,312,51,33,2,
"Jefes y empleados de oficina (030)",1490,1474,,6,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",8169,1480,32,5462,159,1035,1,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1340,,,1305,35,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",1095,,262,714,33,86,,
"Obreros construc.,conf.,papel, fab., instr. (034)",232,9,67,142,6,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",8111,894,1098,2793,27,1834,1465,
"Otra (036)",60,60,,,,,,
"Ocupaciñn no especificada (037)",963,215,92,489,21,146,,
"Desocupado (038)",1308,,,,,,,1308
,,,,,,,,
"URBANA (039)",61055,21015,7271,24004,1067,3174,1464,3060
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",166,140,,,26,,,
"Profes., científicos e intelectuales (041)",10361,8909,,1310,114,28,,
"Técnicos de nivel medio y trab. asimilados (042)",3738,2343,,1163,177,53,2,
"Jefes y empleados de oficina (043)",2985,2942,,24,2,17,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",12008,2876,66,7540,274,1250,2,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2810,2,1,2684,123,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",5391,,1539,3483,175,194,,
"Obreros construc.,conf.,papel, fab., instr. (047)",6402,964,1986,3280,100,72,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",12004,1674,3367,4046,39,1418,1460,
"Otra (049)",707,707,,,,,,
"Ocupaciñn no especificada (050)",1423,458,312,474,37,142,,
"Desocupado (051)",3060,,,,,,,3060
"Hombres (052)",35312,11575,6150,13678,718,1266,69,1856
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",113,94,,,19,,,
"Profes., científicos e intelectuales (054)",5380,4434,,844,88,14,,
"Técnicos de nivel medio y trab. asimilados (055)",2439,1437,,856,126,20,,
"Jefes y empleados de oficina (056)",1505,1478,,18,2,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",4204,1437,37,2355,118,256,1,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2191,2,1,2090,98,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",4343,,1296,2792,142,113,,
"Obreros construc.,conf.,papel, fab., instr. (060)",6176,955,1922,3141,94,64,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",5620,825,2639,1337,12,739,68,
"Otra (062)",647,647,,,,,,
"Ocupaciñn no especificada (063)",838,266,255,245,19,53,,
"Desocupado (064)",1856,,,,,,,1856
"Mujeres (065)",25743,9440,1121,10326,349,1908,1395,1204
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",53,46,,,7,,,
"Profes., científicos e intelectuales (067)",4981,4475,,466,26,14,,
"Técnicos de nivel medio y trab. asimilados (068)",1299,906,,307,51,33,2,
"Jefes y empleados de oficina (069)",1480,1464,,6,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",7804,1439,29,5185,156,994,1,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",619,,,594,25,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",1048,,243,691,33,81,,
"Obreros construc.,conf.,papel, fab., instr. (073)",226,9,64,139,6,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",6384,849,728,2709,27,679,1392,
"Otra (075)",60,60,,,,,,
"Ocupaciñn no especificada (076)",585,192,57,229,18,89,,
"Desocupado (077)",1204,,,,,,,1204
,,,,,,,,
"RURAL (078)",14056,467,2416,7600,180,2549,76,768
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",12,12,,,,,,
"Profes., científicos e intelectuales (080)",208,110,,96,1,1,,
"Técnicos de nivel medio y trab. asimilados (081)",58,28,,28,,2,,
"Jefes y empleados de oficina (082)",54,54,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",514,88,4,367,5,50,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",6366,,1,6219,146,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",310,,139,135,3,33,,
"Obreros construc.,conf.,papel, fab., instr. (086)",485,47,226,183,16,13,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",4568,81,1867,171,1,2372,76,
"Otra (088)",1,1,,,,,,
"Ocupaciñn no especificada (089)",712,46,179,401,8,78,,
"Desocupado (090)",768,,,,,,,768
"Hombres (091)",10587,290,1986,6190,163,1291,3,664
