"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CORONGO (000)",8329,8196,108,25
"Hombres (001)",4264,4224,28,12
"Mujeres (002)",4065,3972,80,13
"Menores de 1 año (003)",119,105,6,8
"Hombres (004)",57,50,3,4
"Mujeres (005)",62,55,3,4
"De 1 a 5 años (006)",852,828,11,13
"Hombres (007)",451,442,3,6
"Mujeres (008)",401,386,8,7
"De 6 a 14 años (009)",1760,1758,1,1
"Hombres (010)",904,903,1,
"Mujeres (011)",856,855,,1
"De 15 a 29 años (012)",1918,1917,,1
"Hombres (013)",1016,1015,,1
"Mujeres (014)",902,902,,
"De 30 a 44 años (015)",1520,1515,5,
"Hombres (016)",774,773,1,
"Mujeres (017)",746,742,4,
"De 45 a 64 años (018)",1332,1314,18,
"Hombres (019)",672,666,6,
"Mujeres (020)",660,648,12,
"De 65 a más años (021)",828,759,67,2
"Hombres (022)",390,375,14,1
"Mujeres (023)",438,384,53,1
,,,,
"URBANA (024)",4113,4047,58,8
"Hombres (025)",2116,2097,15,4
"Mujeres (026)",1997,1950,43,4
"Menores de 1 año (027)",54,48,3,3
"Hombres (028)",28,25,1,2
"Mujeres (029)",26,23,2,1
"De 1 a 5 años (030)",365,354,8,3
"Hombres (031)",196,192,2,2
"Mujeres (032)",169,162,6,1
"De 6 a 14 años (033)",785,783,1,1
"Hombres (034)",418,417,1,
"Mujeres (035)",367,366,,1
"De 15 a 29 años (036)",872,872,,
"Hombres (037)",454,454,,
"Mujeres (038)",418,418,,
"De 30 a 44 años (039)",798,797,1,
"Hombres (040)",424,424,,
"Mujeres (041)",374,373,1,
"De 45 a 64 años (042)",732,724,8,
"Hombres (043)",367,365,2,
"Mujeres (044)",365,359,6,
"De 65 a más años (045)",507,469,37,1
"Hombres (046)",229,220,9,
"Mujeres (047)",278,249,28,1
,,,,
"RURAL (048)",4216,4149,50,17
"Hombres (049)",2148,2127,13,8
"Mujeres (050)",2068,2022,37,9
"Menores de 1 año (051)",65,57,3,5
"Hombres (052)",29,25,2,2
"Mujeres (053)",36,32,1,3
"De 1 a 5 años (054)",487,474,3,10
"Hombres (055)",255,250,1,4
"Mujeres (056)",232,224,2,6
"De 6 a 14 años (057)",975,975,,
"Hombres (058)",486,486,,
"Mujeres (059)",489,489,,
"De 15 a 29 años (060)",1046,1045,,1
"Hombres (061)",562,561,,1
"Mujeres (062)",484,484,,
"De 30 a 44 años (063)",722,718,4,
"Hombres (064)",350,349,1,
"Mujeres (065)",372,369,3,
"De 45 a 64 años (066)",600,590,10,
"Hombres (067)",305,301,4,
"Mujeres (068)",295,289,6,
"De 65 a más años (069)",321,290,30,1
"Hombres (070)",161,155,5,1
"Mujeres (071)",160,135,25,
