"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHOTA (000)",150794,6897,17984,20426,15926,24191,21055,31786,12529
"Sin nivel (001)",31186,6897,1933,219,409,1651,3100,10144,6833
"Educación inicial (002)",3732,,3576,44,21,50,41,,
"Primaria (003)",76858,,12475,14545,5376,11889,10986,16284,5303
"Secundaria (004)",29610,,,5618,9587,7266,4079,2829,231
"Superior no univ. incompleto (005)",1859,,,,310,861,396,270,22
"Superior no univ. completo (006)",3354,,,,,1154,1233,910,57
"Superior univ. incompleto (007)",1174,,,,223,552,200,190,9
"Superior univ. completo (008)",3021,,,,,768,1020,1159,74
"Hombres (010)",73069,3452,9112,10312,7937,11397,9832,14979,6048
"Sin nivel (011)",9246,3452,973,83,140,401,600,1824,1773
"Educación inicial (012)",1872,,1809,24,8,14,17,,
"Primaria (013)",39236,,6330,7221,2199,4949,4950,9603,3984
"Secundaria (014)",17174,,,2984,5341,4192,2595,1884,178
"Superior no univ. incompleto (015)",1045,,,,138,474,230,184,19
"Superior no univ. completo (016)",1958,,,,,646,721,556,35
"Superior univ. incompleto (017)",683,,,,111,312,125,130,5
"Superior univ. completo (018)",1855,,,,,409,594,798,54
"Mujeres (020)",77725,3445,8872,10114,7989,12794,11223,16807,6481
"Sin nivel (021)",21940,3445,960,136,269,1250,2500,8320,5060
"Educación inicial (022)",1860,,1767,20,13,36,24,,
"Primaria (023)",37622,,6145,7324,3177,6940,6036,6681,1319
"Secundaria (024)",12436,,,2634,4246,3074,1484,945,53
"Superior no univ. incompleto (025)",814,,,,172,387,166,86,3
"Superior no univ. completo (026)",1396,,,,,508,512,354,22
"Superior univ. incompleto (027)",491,,,,112,240,75,60,4
"Superior univ. completo (028)",1166,,,,,359,426,361,20
,,,,,,,,,
"URBANA (030)",30626,1098,3071,3635,3353,4999,4852,7260,2358
"Sin nivel (031)",3462,1098,176,24,37,120,229,960,818
"Educación inicial (032)",836,,780,23,7,13,13,,
"Primaria (033)",10782,,2115,2116,400,954,1177,2787,1233
"Secundaria (034)",8883,,,1472,2594,1823,1369,1466,159
