"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ATALAYA (000)",39291,3195,6403,5914,4686,6998,5143,6076,876
"Sabe leer y escribir (001)",27639,,3344,5434,4249,6016,4025,4065,506
"No sabe leer y escribir (002)",11652,3195,3059,480,437,982,1118,2011,370
"Hombres (004)",20630,1543,3271,3211,2310,3518,2745,3515,517
"Sabe leer y escribir (005)",15261,,1674,2943,2145,3163,2339,2651,346
"No sabe leer y escribir (006)",5369,1543,1597,268,165,355,406,864,171
"Mujeres (008)",18661,1652,3132,2703,2376,3480,2398,2561,359
"Sabe leer y escribir (009)",12378,,1670,2491,2104,2853,1686,1414,160
"No sabe leer y escribir (010)",6283,1652,1462,212,272,627,712,1147,199
,,,,,,,,,
"URBANA (012)",14111,854,1790,2045,1720,2656,2127,2528,391
"Sabe leer y escribir (013)",12311,,1292,2007,1693,2601,2063,2328,327
"No sabe leer y escribir (014)",1800,854,498,38,27,55,64,200,64
"Hombres (016)",7440,424,886,1089,880,1306,1139,1485,231
"Sabe leer y escribir (017)",6618,,632,1066,867,1287,1122,1426,218
"No sabe leer y escribir (018)",822,424,254,23,13,19,17,59,13
"Mujeres (020)",6671,430,904,956,840,1350,988,1043,160
"Sabe leer y escribir (021)",5693,,660,941,826,1314,941,902,109
"No sabe leer y escribir (022)",978,430,244,15,14,36,47,141,51
,,,,,,,,,
"RURAL (024)",25180,2341,4613,3869,2966,4342,3016,3548,485
"Sabe leer y escribir (025)",15328,,2052,3427,2556,3415,1962,1737,179
"No sabe leer y escribir (026)",9852,2341,2561,442,410,927,1054,1811,306
"Hombres (028)",13190,1119,2385,2122,1430,2212,1606,2030,286
"Sabe leer y escribir (029)",8643,,1042,1877,1278,1876,1217,1225,128
"No sabe leer y escribir (030)",4547,1119,1343,245,152,336,389,805,158
"Mujeres (032)",11990,1222,2228,1747,1536,2130,1410,1518,199
"Sabe leer y escribir (033)",6685,,1010,1550,1278,1539,745,512,51
"No sabe leer y escribir (034)",5305,1222,1218,197,258,591,665,1006,148
