"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CASMA (000)",15905,30,1002,433,545,2123,2524,1026,1987,6002,47,186
"Agric., ganadería, caza y silvicultura (001)",5869,,15,21,6,,1990,,9,3828,,
"Pesca (002)",822,,8,5,14,2,534,3,12,244,,
"Explotación de minas y canteras (003)",36,,6,2,2,,,11,1,14,,
"Industrias manufactureras (004)",1006,1,8,38,20,20,,725,50,144,,
"Suministro de electricidad, gas y agua (005)",35,,2,4,5,,,8,4,12,,
"Construcción (006)",642,2,8,8,6,,,29,447,142,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2426,1,20,60,23,1499,,233,24,566,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",269,,1,6,3,66,,174,10,9,,
"Comercio al por mayor (009)",242,,4,24,9,165,,,8,32,,
"Comercio al por menor (010)",1915,1,15,30,11,1268,,59,6,525,,
"Hoteles y restaurantes (011)",781,,11,36,26,440,,,1,267,,
"Trans., almac. y comunicaciones (012)",1666,1,6,25,41,4,,6,1393,190,,
"Intermediación financiera (013)",29,,3,4,19,,,,1,2,,
"Activid.inmobil., empres. y alquileres (014)",441,2,79,79,76,84,,7,23,91,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,14,25,29,227,17,,1,19,80,47,
"Enseñanza (016)",793,8,738,1,36,,,,,10,,
"Servicios sociales y de salud (017)",165,,50,71,18,5,,,1,20,,
"Otras activ. serv.comun.soc y personales (018)",319,1,23,48,23,52,,3,2,167,,
"Hogares privados con servicio doméstico (019)",224,,,,,,,,,224,,
"Actividad economica no especificada (021)",192,,,2,3,,,,,1,,186
"Hombres (022)",11392,23,486,265,251,901,2348,711,1960,4343,45,59
"Agric., ganadería, caza y silvicultura (023)",5059,,12,15,4,,1870,,9,3149,,
"Pesca (024)",739,,6,5,12,,478,3,12,223,,
"Explotación de minas y canteras (025)",35,,6,2,2,,,11,1,13,,
"Industrias manufactureras (026)",579,1,7,22,13,10,,415,45,66,,
"Suministro de electricidad, gas y agua (027)",34,,2,4,4,,,8,4,12,,
"Construcción (028)",630,2,8,8,2,,,29,443,138,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1235,1,9,42,10,643,,229,24,277,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",247,,,6,1,50,,172,10,8,,
"Comercio al por mayor (031)",145,,1,16,6,88,,,8,26,,
"Comercio al por menor (032)",843,1,8,20,3,505,,57,6,243,,
"Hoteles y restaurantes (033)",233,,6,20,11,135,,,1,60,,
"Trans., almac. y comunicaciones (034)",1573,1,4,14,12,2,,6,1382,152,,
"Intermediación financiera (035)",17,,3,1,10,,,,1,2,,
"Activid.inmobil., empres. y alquileres (036)",324,2,46,56,33,84,,6,19,78,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",289,12,16,19,108,16,,1,16,56,45,
"Enseñanza (038)",351,3,324,,17,,,,,7,,
"Servicios sociales y de salud (039)",45,,19,18,3,,,,1,4,,
"Otras activ. serv.comun.soc y personales (040)",176,1,18,38,8,11,,3,2,95,,
"Hogares privados con servicio doméstico (041)",11,,,,,,,,,11,,
"Actividad economica no especificada (043)",62,,,1,2,,,,,,,59
"Mujeres (044)",4513,7,516,168,294,1222,176,315,27,1659,2,127
"Agric., ganadería, caza y silvicultura (045)",810,,3,6,2,,120,,,679,,
"Pesca (046)",83,,2,,2,2,56,,,21,,
"Explotación de minas y canteras (047)",1,,,,,,,,,1,,
"Industrias manufactureras (048)",427,,1,16,7,10,,310,5,78,,
"Suministro de electricidad, gas y agua (049)",1,,,,1,,,,,,,
"Construcción (050)",12,,,,4,,,,4,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1191,,11,18,13,856,,4,,289,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",22,,1,,2,16,,2,,1,,
"Comercio al por mayor (053)",97,,3,8,3,77,,,,6,,
"Comercio al por menor (054)",1072,,7,10,8,763,,2,,282,,
"Hoteles y restaurantes (055)",548,,5,16,15,305,,,,207,,
"Trans., almac. y comunicaciones (056)",93,,2,11,29,2,,,11,38,,
"Intermediación financiera (057)",12,,,3,9,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",117,,33,23,43,,,1,4,13,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",170,2,9,10,119,1,,,3,24,2,
"Enseñanza (060)",442,5,414,1,19,,,,,3,,
"Servicios sociales y de salud (061)",120,,31,53,15,5,,,,16,,
"Otras activ. serv.comun.soc y personales (062)",143,,5,10,15,41,,,,72,,
"Hogares privados con servicio doméstico (063)",213,,,,,,,,,213,,
"Actividad economica no especificada (065)",130,,,1,1,,,,,1,,127
,,,,,,,,,,,,
"URBANA (066)",11476,27,947,414,513,1972,1216,971,1706,3509,45,156
"Agric., ganadería, caza y silvicultura (067)",2311,,13,19,5,,717,,7,1550,,
"Pesca (068)",755,,8,5,14,2,499,3,12,212,,
"Explotación de minas y canteras (069)",26,,5,2,2,,,11,1,5,,
"Industrias manufactureras (070)",921,1,8,38,19,20,,686,33,116,,
"Suministro de electricidad, gas y agua (071)",19,,2,4,5,,,4,1,3,,
"Construcción (072)",550,2,8,8,6,,,28,382,116,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2278,1,20,58,23,1403,,223,22,528,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",252,,1,6,3,58,,166,9,9,,
"Comercio al por mayor (075)",222,,4,24,9,147,,,7,31,,
"Comercio al por menor (076)",1804,1,15,28,11,1198,,57,6,488,,
"Hoteles y restaurantes (077)",732,,11,32,24,410,,,1,254,,
"Trans., almac. y comunicaciones (078)",1468,1,6,25,40,4,,6,1203,183,,
"Intermediación financiera (079)",29,,3,4,19,,,,1,2,,
"Activid.inmobil., empres. y alquileres (080)",384,1,74,74,73,65,,7,21,69,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",425,12,24,27,208,14,,1,19,75,45,
"Enseñanza (082)",744,8,694,1,32,,,,,9,,
"Servicios sociales y de salud (083)",161,,49,69,17,5,,,1,20,,
"Otras activ. serv.comun.soc y personales (084)",306,1,22,46,23,49,,2,2,161,,
"Hogares privados con servicio doméstico (085)",205,,,,,,,,,205,,
"Actividad economica no especificada (087)",162,,,2,3,,,,,1,,156
"Hombres (088)",7575,20,469,250,235,838,1092,666,1682,2227,43,53
"Agric., ganadería, caza y silvicultura (089)",1872,,10,13,4,,648,,7,1190,,
"Pesca (090)",676,,6,5,12,,444,3,12,194,,
"Explotación de minas y canteras (091)",25,,5,2,2,,,11,1,4,,
"Industrias manufactureras (092)",515,1,7,22,13,10,,386,30,46,,
"Suministro de electricidad, gas y agua (093)",18,,2,4,4,,,4,1,3,,
"Construcción (094)",539,2,8,8,2,,,28,378,113,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1162,1,9,40,10,606,,219,22,255,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",230,,,6,1,42,,164,9,8,,
"Comercio al por mayor (097)",136,,1,16,6,81,,,7,25,,
"Comercio al por menor (098)",796,1,8,18,3,483,,55,6,222,,
"Hoteles y restaurantes (099)",223,,6,18,9,131,,,1,58,,
"Trans., almac. y comunicaciones (100)",1377,1,4,14,12,2,,6,1193,145,,
"Intermediación financiera (101)",17,,3,1,10,,,,1,2,,
"Activid.inmobil., empres. y alquileres (102)",274,1,44,52,32,65,,6,17,57,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",265,10,16,17,98,13,,1,16,51,43,
"Enseñanza (104)",337,3,313,,15,,,,,6,,
"Servicios sociales y de salud (105)",43,,19,17,2,,,,1,4,,
"Otras activ. serv.comun.soc y personales (106)",166,1,17,36,8,11,,2,2,89,,
"Hogares privados con servicio doméstico (107)",10,,,,,,,,,10,,
"Actividad economica no especificada (109)",56,,,1,2,,,,,,,53
"Mujeres (110)",3901,7,478,164,278,1134,124,305,24,1282,2,103
"Agric., ganadería, caza y silvicultura (111)",439,,3,6,1,,69,,,360,,
"Pesca (112)",79,,2,,2,2,55,,,18,,
"Explotación de minas y canteras (113)",1,,,,,,,,,1,,
"Industrias manufactureras (114)",406,,1,16,6,10,,300,3,70,,
"Suministro de electricidad, gas y agua (115)",1,,,,1,,,,,,,
"Construcción (116)",11,,,,4,,,,4,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1116,,11,18,13,797,,4,,273,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",22,,1,,2,16,,2,,1,,
"Comercio al por mayor (119)",86,,3,8,3,66,,,,6,,
"Comercio al por menor (120)",1008,,7,10,8,715,,2,,266,,
"Hoteles y restaurantes (121)",509,,5,14,15,279,,,,196,,
"Trans., almac. y comunicaciones (122)",91,,2,11,28,2,,,10,38,,
"Intermediación financiera (123)",12,,,3,9,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",110,,30,22,41,,,1,4,12,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",160,2,8,10,110,1,,,3,24,2,
"Enseñanza (126)",407,5,381,1,17,,,,,3,,
"Servicios sociales y de salud (127)",118,,30,52,15,5,,,,16,,
"Otras activ. serv.comun.soc y personales (128)",140,,5,10,15,38,,,,72,,
"Hogares privados con servicio doméstico (129)",195,,,,,,,,,195,,
"Actividad economica no especificada (131)",106,,,1,1,,,,,1,,103
,,,,,,,,,,,,
"RURAL (132)",4429,3,55,19,32,151,1308,55,281,2493,2,30
"Agric., ganadería, caza y silvicultura (133)",3558,,2,2,1,,1273,,2,2278,,
"Pesca (134)",67,,,,,,35,,,32,,
"Explotación de minas y canteras (135)",10,,1,,,,,,,9,,
"Industrias manufactureras (136)",85,,,,1,,,39,17,28,,
"Suministro de electricidad, gas y agua (137)",16,,,,,,,4,3,9,,
"Construcción (138)",92,,,,,,,1,65,26,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",148,,,2,,96,,10,2,38,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",17,,,,,8,,8,1,,,
"Comercio al por mayor (141)",20,,,,,18,,,1,1,,
"Comercio al por menor (142)",111,,,2,,70,,2,,37,,
"Hoteles y restaurantes (143)",49,,,4,2,30,,,,13,,
"Trans., almac. y comunicaciones (144)",198,,,,1,,,,190,7,,
"Activid.inmobil., empres. y alquileres (146)",57,1,5,5,3,19,,,2,22,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",34,2,1,2,19,3,,,,5,2,
"Enseñanza (148)",49,,44,,4,,,,,1,,
"Servicios sociales y de salud (149)",4,,1,2,1,,,,,,,
"Otras activ. serv.comun.soc y personales (150)",13,,1,2,,3,,1,,6,,
"Hogares privados con servicio doméstico (151)",19,,,,,,,,,19,,
"Actividad economica no especificada (153)",30,,,,,,,,,,,30
"Hombres (154)",3817,3,17,15,16,63,1256,45,278,2116,2,6
