"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia GRAU (000)",5733,53,689,100,152,381,2022,368,261,1536,20,151
"Agric., ganadería, caza y silvicultura (001)",2981,,2,4,,,2022,,,953,,
"Explotación de minas y canteras (003)",277,,15,4,7,5,,149,28,69,,
"Industrias manufactureras (004)",209,,1,1,,,,193,13,1,,
"Suministro de electricidad, gas y agua (005)",10,,,1,2,,,2,1,4,,
"Construcción (006)",368,,5,7,,,,9,153,194,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",370,,,4,,301,,13,,52,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",10,,,1,,1,,8,,,,
"Comercio al por mayor (009)",11,,,,,11,,,,,,
"Comercio al por menor (010)",349,,,3,,289,,5,,52,,
"Hoteles y restaurantes (011)",112,,,6,1,56,,,,49,,
"Trans., almac. y comunicaciones (012)",73,,1,5,4,,,,45,18,,
"Intermediación financiera (013)",3,,1,,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",29,,6,1,10,5,,,,7,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",324,49,14,15,109,5,,1,10,101,20,
"Enseñanza (016)",620,4,595,,6,,,,4,11,,
"Servicios sociales y de salud (017)",122,,47,49,4,5,,,7,10,,
"Otras activ. serv.comun.soc y personales (018)",30,,2,3,7,4,,1,,13,,
"Hogares privados con servicio doméstico (019)",53,,,,,,,,,53,,
"Actividad economica no especificada (021)",152,,,,1,,,,,,,151
"Hombres (022)",4201,43,432,65,108,116,1765,313,256,1006,20,77
"Agric., ganadería, caza y silvicultura (023)",2378,,2,3,,,1765,,,608,,
