"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CUTERVO (000)",34094,173,631,1634,3632,7307,13475,7242
"De 12 a 14 años (001)",65,,,,,,6,59
"De 15 a 19 años (002)",1143,,,,,,715,428
"De 20 a 24 años (003)",3747,,,,,15,2431,1301
"De 25 a 29 años (004)",4466,,,,,257,3036,1173
"De 30 a 34 años (005)",4206,,,,3,745,2716,742
"De 35 a 39 años (006)",4135,,,,39,1246,2235,615
"De 40 a 44 años (007)",3469,,,,155,1356,1406,552
"De 45 a 49 años (008)",2985,,,16,363,1453,763,390
"De 50 y más años (009)",9878,173,631,1618,3072,2235,167,1982
"Sin nivel (010)",10339,137,512,1141,2026,2298,2128,2097
"De 12 a 14 años (011)",4,,,,,,,4
"De 15 a 19 años (012)",71,,,,,,43,28
"De 20 a 24 años (013)",282,,,,,,174,108
"De 25 a 29 años (014)",513,,,,,22,358,133
"De 30 a 34 años (015)",545,,,,,96,353,96
"De 35 a 39 años (016)",822,,,,5,232,457,128
"De 40 a 44 años (017)",872,,,,27,322,367,156
"De 45 a 49 años (018)",1016,,,4,93,495,296,128
"De 50 y más años (019)",6214,137,512,1137,1901,1131,80,1316
"Educacion Inicial (020)",55,,,,1,7,33,14
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",8,,,,,,4,4
"De 25 a 29 años (024)",14,,,,,,9,5
"De 30 a 34 años (025)",21,,,,,5,13,3
"De 35 a 39 años (026)",10,,,,1,2,6,1
"Primaria (030)",17649,34,107,421,1369,3965,8425,3328
"De 12 a 14 años (031)",39,,,,,,3,36
"De 15 a 19 años (032)",707,,,,,,461,246
"De 20 a 24 años (033)",2284,,,,,10,1603,671
"De 25 a 29 años (034)",2716,,,,,169,1935,612
"De 30 a 34 años (035)",2572,,,,2,455,1718,397
"De 35 a 39 años (036)",2451,,,,20,756,1353,322
"De 40 a 44 años (037)",2046,,,,97,811,855,283
"De 45 a 49 años (038)",1587,,,9,208,773,413,184
"De 50 y más años (039)",3247,34,107,412,1042,991,84,577
"Secundaria (040)",3920,2,10,35,133,613,2042,1085
"De 12 a 14 años (041)",21,,,,,,3,18
"De 15 a 19 años (042)",351,,,,,,202,149
"De 20 a 24 años (043)",894,,,,,5,545,344
"De 25 a 29 años (044)",836,,,,,50,544,242
"De 30 a 34 años (045)",676,,,,,150,405,121
"De 35 a 39 años (046)",470,,,,9,150,239,72
"De 40 a 44 años (047)",253,,,,17,108,74,54
"De 45 a 49 años (048)",201,,,1,40,95,28,37
