"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CORONEL PORTILLO (000)",121102,85964,13383,9975,11780
"Agric., ganadería, caza y silvicultura (001)",22681,19880,1959,607,235
"Pesca (002)",1156,1027,107,13,9
"Explotación de minas y canteras (003)",265,76,17,16,156
"Industrias manufactureras (004)",11570,6717,1872,1756,1225
"Suministro de electricidad, gas y agua (005)",286,120,20,73,73
"Construcción (006)",5452,3281,1053,881,237
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",26428,23109,2306,829,184
"Venta, mant.y rep. veh.autom y motoc. (008)",3184,2387,513,189,95
"Comercio al por mayor (009)",1354,847,258,160,89
"Comercio al por menor (010)",21890,19875,1535,480,
"Hoteles y restaurantes (011)",7078,5866,835,300,77
"Trans., almac. y comunicaciones (012)",13709,11264,1139,784,522
"Intermediación financiera (013)",415,89,43,201,82
"Activid.inmobil., empres. y alquileres (014)",5506,2388,1042,1182,894
"Admin.pub. y defensa; p. segur soc.afil (015)",4132,,,,4132
"Enseñanza (016)",7139,1155,1647,2346,1991
"Servicios sociales y de salud (017)",2143,533,147,149,1314
"Otras activ. serv.comun.soc y personales (018)",3600,2724,465,292,119
"Hogares privados con servicio doméstico (019)",3859,3859,,,
"Organiz. y organos extraterritoriales (020)",10,,3,2,5
"Actividad economica no especificada (021)",5673,3876,728,544,525
"Hombres (022)",80101,55414,9856,7002,7829
"Agric., ganadería, caza y silvicultura (023)",18139,15773,1648,512,206
"Pesca (024)",1090,963,106,13,8
"Explotación de minas y canteras (025)",239,65,16,16,142
"Industrias manufactureras (026)",9034,4600,1691,1619,1124
"Suministro de electricidad, gas y agua (027)",255,108,18,65,64
"Construcción (028)",5230,3213,1026,773,218
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14679,12324,1591,614,150
"Venta, mant.y rep. veh.autom y motoc. (030)",2878,2186,441,163,88
"Comercio al por mayor (031)",983,576,211,134,62
"Comercio al por menor (032)",10818,9562,939,317,
"Hoteles y restaurantes (033)",1841,1354,328,131,28
"Trans., almac. y comunicaciones (034)",13096,10838,1058,705,495
"Intermediación financiera (035)",258,54,24,131,49
"Activid.inmobil., empres. y alquileres (036)",3710,1586,676,826,622
"Admin.pub. y defensa; p. segur soc.afil (037)",2835,,,,2835
