"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ICA (000)",129962,65092,12179,15394,37297
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",436,49,98,130,159
"Profes., científicos e intelectuales (002)",16871,4041,2403,4503,5924
"Técnicos de nivel medio y trab. asimilados (003)",7380,3086,897,1114,2283
"Jefes y empleados de oficina (004)",6106,1158,758,1328,2862
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",18509,15166,1450,1032,861
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3767,3166,253,91,257
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",9675,5541,963,796,2375
"Obreros construc.,conf.,papel, fab., instr. (008)",16516,12773,1517,930,1296
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",47790,18906,3617,5235,20032
"Otra (010)",699,,,,699
"Ocupación no especificada (011)",2213,1206,223,235,549
"Hombres (012)",80799,41960,8348,9191,21300
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",278,31,51,81,115
"Profes., científicos e intelectuales (014)",8417,2243,1032,2003,3139
"Técnicos de nivel medio y trab. asimilados (015)",4653,2129,612,716,1196
"Jefes y empleados de oficina (016)",2939,469,335,621,1514
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",8549,6302,843,709,695
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3187,2701,219,72,195
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",7299,4717,854,543,1185
"Obreros construc.,conf.,papel, fab., instr. (020)",16050,12474,1485,892,1199
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",27564,10277,2776,3406,11105
"Otra (022)",646,,,,646
"Ocupación no especificada (023)",1217,617,141,148,311
"Mujeres (024)",49163,23132,3831,6203,15997
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",158,18,47,49,44
"Profes., científicos e intelectuales (026)",8454,1798,1371,2500,2785
"Técnicos de nivel medio y trab. asimilados (027)",2727,957,285,398,1087
"Jefes y empleados de oficina (028)",3167,689,423,707,1348
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",9960,8864,607,323,166
"Agricult.trabaj.calif.agrop.y pesqueros (030)",580,465,34,19,62
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",2376,824,109,253,1190
