"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ASUNCION (000)",8508,420,1056,1199,874,1147,1113,1795,904
"Sin nivel (001)",2397,420,117,5,9,60,214,891,681
"Educación inicial (002)",294,,274,9,,7,4,,
"Primaria (003)",2934,,665,842,124,241,329,558,175
"Secundaria (004)",2072,,,343,710,595,259,137,28
"Superior no univ. incompleto (005)",154,,,,13,73,40,26,2
"Superior no univ. completo (006)",392,,,,,101,172,106,13
"Superior univ. incompleto (007)",98,,,,18,33,23,23,1
"Superior univ. completo (008)",167,,,,,37,72,54,4
"Hombres (010)",4103,209,569,601,463,544,510,833,374
"Sin nivel (011)",833,209,55,2,3,23,71,258,212
"Educación inicial (012)",162,,154,1,,4,3,,
"Primaria (013)",1537,,360,431,57,96,131,338,124
"Secundaria (014)",1082,,,167,384,286,126,97,22
"Superior no univ. incompleto (015)",105,,,,7,46,30,20,2
"Superior no univ. completo (016)",255,,,,,60,107,77,11
"Superior univ. incompleto (017)",52,,,,12,16,11,13,
"Superior univ. completo (018)",77,,,,,13,31,30,3
"Mujeres (020)",4405,211,487,598,411,603,603,962,530
"Sin nivel (021)",1564,211,62,3,6,37,143,633,469
"Educación inicial (022)",132,,120,8,,3,1,,
"Primaria (023)",1397,,305,411,67,145,198,220,51
"Secundaria (024)",990,,,176,326,309,133,40,6
"Superior no univ. incompleto (025)",49,,,,6,27,10,6,
"Superior no univ. completo (026)",137,,,,,41,65,29,2
"Superior univ. incompleto (027)",46,,,,6,17,12,10,1
"Superior univ. completo (028)",90,,,,,24,41,24,1
,,,,,,,,,
"URBANA (030)",2128,134,306,257,165,355,407,363,141
"Sin nivel (031)",314,134,34,,1,4,21,60,60
"Educación inicial (032)",82,,78,1,,2,1,,
"Primaria (033)",590,,194,145,11,32,62,97,49
"Secundaria (034)",568,,,111,137,156,94,50,20
"Superior no univ. incompleto (035)",93,,,,5,40,31,15,2
"Superior no univ. completo (036)",286,,,,,74,124,80,8
"Superior univ. incompleto (037)",71,,,,11,22,19,19,
"Superior univ. completo (038)",124,,,,,25,55,42,2
"Hombres (040)",1079,72,174,136,86,173,185,196,57
"Sin nivel (041)",128,72,22,,,1,6,14,13
"Educación inicial (042)",44,,42,,,2,,,
"Primaria (043)",295,,110,79,3,9,23,51,20
"Secundaria (044)",278,,,57,72,72,33,30,14
"Superior no univ. incompleto (045)",67,,,,5,27,21,12,2
"Superior no univ. completo (046)",174,,,,,41,73,54,6
"Superior univ. incompleto (047)",36,,,,6,13,7,10,
"Superior univ. completo (048)",57,,,,,8,22,25,2
"Mujeres (050)",1049,62,132,121,79,182,222,167,84
"Sin nivel (051)",186,62,12,,1,3,15,46,47
"Educación inicial (052)",38,,36,1,,,1,,
"Primaria (053)",295,,84,66,8,23,39,46,29
"Secundaria (054)",290,,,54,65,84,61,20,6
"Superior no univ. incompleto (055)",26,,,,,13,10,3,
"Superior no univ. completo (056)",112,,,,,33,51,26,2
"Superior univ. incompleto (057)",35,,,,5,9,12,9,
"Superior univ. completo (058)",67,,,,,17,33,17,
,,,,,,,,,
"RURAL (060)",6380,286,750,942,709,792,706,1432,763
"Sin nivel (061)",2083,286,83,5,8,56,193,831,621
"Educación inicial (062)",212,,196,8,,5,3,,
"Primaria (063)",2344,,471,697,113,209,267,461,126
"Secundaria (064)",1504,,,232,573,439,165,87,8
"Superior no univ. incompleto (065)",61,,,,8,33,9,11,
"Superior no univ. completo (066)",106,,,,,27,48,26,5
"Superior univ. incompleto (067)",27,,,,7,11,4,4,1
"Superior univ. completo (068)",43,,,,,12,17,12,2
"Hombres (070)",3024,137,395,465,377,371,325,637,317
"Sin nivel (071)",705,137,33,2,3,22,65,244,199
"Educación inicial (072)",118,,112,1,,2,3,,
"Primaria (073)",1242,,250,352,54,87,108,287,104
"Secundaria (074)",804,,,110,312,214,93,67,8
"Superior no univ. incompleto (075)",38,,,,2,19,9,8,
"Superior no univ. completo (076)",81,,,,,19,34,23,5
"Superior univ. incompleto (077)",16,,,,6,3,4,3,
"Superior univ. completo (078)",20,,,,,5,9,5,1
"Mujeres (080)",3356,149,355,477,332,421,381,795,446
"Sin nivel (081)",1378,149,50,3,5,34,128,587,422
"Educación inicial (082)",94,,84,7,,3,,,
"Primaria (083)",1102,,221,345,59,122,159,174,22
"Secundaria (084)",700,,,122,261,225,72,20,
"Superior no univ. incompleto (085)",23,,,,6,14,,3,
"Superior no univ. completo (086)",25,,,,,8,14,3,
"Superior univ. incompleto (087)",11,,,,1,8,,1,1
"Superior univ. completo (088)",23,,,,,7,8,7,1
