"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5488,5253,28,853,821,758,1437,861,390,105,235,21097
"De 12 a 14 años (001)",10,1,,1,,,,,,,9,1
"De 15 a 19 años (002)",180,152,1,130,18,2,1,,,,28,176
"De 20 a 24 años (003)",552,478,5,286,135,40,12,,,,74,725
"De 25 a 29 años (004)",637,586,1,166,192,139,79,9,,,51,1355
"De 30 a 34 años (005)",632,613,1,89,158,134,183,44,4,,19,1916
"De 35 a 39 años (006)",555,548,2,30,79,100,217,93,26,1,7,2272
"De 40 a 44 años (007)",507,501,1,23,44,82,169,120,48,14,6,2444
"De 45 a 49 años (008)",439,435,1,7,34,47,136,125,62,23,4,2405
"De 50 y más años (009)",1976,1939,16,121,161,214,640,470,250,67,37,9803
"Sin nivel (010)",2912,2847,19,217,281,346,950,645,303,86,65,13707
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",11,10,,6,3,1,,,,,1,15
"De 20 a 24 años (013)",60,51,,28,13,7,3,,,,9,88
"De 25 a 29 años (014)",93,88,,18,30,18,20,2,,,5,229
"De 30 a 34 años (015)",224,217,1,29,42,39,82,22,2,,7,742
"De 35 a 39 años (016)",243,239,1,11,22,31,106,53,15,,4,1089
"De 40 a 44 años (017)",275,271,1,11,16,34,90,77,31,11,4,1435
"De 45 a 49 años (018)",298,295,,4,16,30,92,87,47,19,3,1715
"De 50 y más años (019)",1707,1676,16,110,139,186,557,404,208,56,31,8394
"Educacion Inicial (020)",16,16,,6,3,3,2,2,,,,43
"De 20 a 24 años (023)",5,5,,4,,1,,,,,,7
"De 25 a 29 años (024)",3,3,,2,1,,,,,,,4
