"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",47383,2287,4731,4886,5079,11502,7932,8782,2184
"Sabe leer y escribir (001)",39675,,3497,4845,5025,11258,7609,6764,677
"No sabe leer y escribir (002)",7708,2287,1234,41,54,244,323,2018,1507
"Hombres (004)",25278,1166,2471,2432,2615,6140,4458,4934,1062
"Sabe leer y escribir (005)",22254,,1823,2412,2594,6053,4373,4456,543
"No sabe leer y escribir (006)",3024,1166,648,20,21,87,85,478,519
"Mujeres (008)",22105,1121,2260,2454,2464,5362,3474,3848,1122
"Sabe leer y escribir (009)",17421,,1674,2433,2431,5205,3236,2308,134
"No sabe leer y escribir (010)",4684,1121,586,21,33,157,238,1540,988
,,,,,,,,,
"URBANA (012)",31556,1549,3016,3082,3422,8282,5795,5455,955
"Sabe leer y escribir (013)",27562,,2309,3068,3400,8172,5651,4595,367
"No sabe leer y escribir (014)",3994,1549,707,14,22,110,144,860,588
"Hombres (016)",17051,795,1578,1510,1771,4374,3318,3220,485
"Sabe leer y escribir (017)",15387,,1205,1503,1759,4341,3284,3013,282
"No sabe leer y escribir (018)",1664,795,373,7,12,33,34,207,203
"Mujeres (020)",14505,754,1438,1572,1651,3908,2477,2235,470
"Sabe leer y escribir (021)",12175,,1104,1565,1641,3831,2367,1582,85
"No sabe leer y escribir (022)",2330,754,334,7,10,77,110,653,385
,,,,,,,,,
"RURAL (024)",15827,738,1715,1804,1657,3220,2137,3327,1229
"Sabe leer y escribir (025)",12113,,1188,1777,1625,3086,1958,2169,310
"No sabe leer y escribir (026)",3714,738,527,27,32,134,179,1158,919
"Hombres (028)",8227,371,893,922,844,1766,1140,1714,577
"Sabe leer y escribir (029)",6867,,618,909,835,1712,1089,1443,261
"No sabe leer y escribir (030)",1360,371,275,13,9,54,51,271,316
"Mujeres (032)",7600,367,822,882,813,1454,997,1613,652
"Sabe leer y escribir (033)",5246,,570,868,790,1374,869,726,49
"No sabe leer y escribir (034)",2354,367,252,14,23,80,128,887,603
