"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUALGAYOC (000)",863,25,458,239,113,28
"Conviviente (001)",286,,129,111,38,8
"Separado(a) (002)",18,,3,11,4,
"Casado(a) (003)",187,,34,79,60,14
"Viudo(a) (004)",7,,,,2,5
"Soltero(a) (006)",365,25,292,38,9,1
"Hombres (008)",655,15,328,185,102,25
"Conviviente (009)",226,,95,86,37,8
"Separado(a) (010)",7,,,5,2,
"Casado(a) (011)",158,,27,65,54,12
"Viudo(a) (012)",5,,,,1,4
"Soltero(a) (014)",259,15,206,29,8,1
"Mujeres (016)",208,10,130,54,11,3
"Conviviente (017)",60,,34,25,1,
"Separado(a) (018)",11,,3,6,2,
"Casado(a) (019)",29,,7,14,6,2
"Viudo(a) (020)",2,,,,1,1
"Soltero(a) (022)",106,10,86,9,1,
,,,,,,
"AREA URBANA (024)",670,13,346,195,93,23
"Conviviente (025)",228,,98,91,33,6
"Separado(a) (026)",12,,1,9,2,
"Casado(a) (027)",152,,28,62,50,12
"Viudo(a) (028)",6,,,,2,4
"Soltero(a) (030)",272,13,219,33,6,1
"Hombres (032)",511,9,252,146,84,20
"Conviviente (033)",176,,72,66,32,6
"Separado(a) (034)",4,,,3,1,
"Casado(a) (035)",128,,22,52,44,10
"Viudo(a) (036)",4,,,,1,3
"Soltero(a) (038)",199,9,158,25,6,1
"Mujeres (040)",159,4,94,49,9,3
"Conviviente (041)",52,,26,25,1,
"Separado(a) (042)",8,,1,6,1,
"Casado(a) (043)",24,,6,10,6,2
"Viudo(a) (044)",2,,,,1,1
"Soltero(a) (046)",73,4,61,8,,
,,,,,,
"AREA RURAL (048)",193,12,112,44,20,5
"Conviviente (049)",58,,31,20,5,2
"Separado(a) (050)",6,,2,2,2,
"Casado(a) (051)",35,,6,17,10,2
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",93,12,73,5,3,
"Hombres (056)",144,6,76,39,18,5
"Conviviente (057)",50,,23,20,5,2
"Separado(a) (058)",3,,,2,1,
"Casado(a) (059)",30,,5,13,10,2
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",60,6,48,4,2,
"Mujeres (064)",49,6,36,5,2,
"Conviviente (065)",8,,8,,,
"Separado(a) (066)",3,,2,,1,
"Casado(a) (067)",5,,1,4,,
"Soltero(a) (070)",33,6,25,1,1,
