"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PICOTA (000)",14442,11955,1348,647,492
"Hombres (001)",11004,9002,1142,509,351
"Mujeres (002)",3438,2953,206,138,141
"De 06 a 14 años (003)",503,441,41,18,3
"Hombres (004)",390,337,35,16,2
"Mujeres (005)",113,104,6,2,1
"De 15 a 29 años (006)",4897,4061,459,218,159
"Hombres (007)",3724,3056,386,177,105
"Mujeres (008)",1173,1005,73,41,54
"De 30 a 44 años (009)",5093,4038,558,277,220
"Hombres (010)",3803,2978,463,215,147
"Mujeres (011)",1290,1060,95,62,73
"De 45 a 64 años (012)",3241,2735,271,128,107
"Hombres (013)",2527,2094,242,97,94
"Mujeres (014)",714,641,29,31,13
"De 65 y más años (015)",708,680,19,6,3
"Hombres (016)",560,537,16,4,3
"Mujeres (017)",148,143,3,2,
,,,,,
"URBANA (018)",9068,7112,1008,519,429
"Hombres (019)",6475,4939,832,401,303
"Mujeres (020)",2593,2173,176,118,126
"De 06 a 14 años (021)",254,219,24,8,3
"Hombres (022)",187,158,20,7,2
"Mujeres (023)",67,61,4,1,1
"De 15 a 29 años (024)",2765,2143,338,156,128
"Hombres (025)",1937,1454,276,125,82
"Mujeres (026)",828,689,62,31,46
"De 30 a 44 años (027)",3425,2564,428,237,196
"Hombres (028)",2390,1735,344,181,130
"Mujeres (029)",1035,829,84,56,66
"De 45 a 64 años (030)",2173,1759,202,112,100
"Hombres (031)",1616,1267,178,84,87
"Mujeres (032)",557,492,24,28,13
"De 65 y más años (033)",451,427,16,6,2
"Hombres (034)",345,325,14,4,2
"Mujeres (035)",106,102,2,2,
,,,,,
"RURAL (036)",5374,4843,340,128,63
"Hombres (037)",4529,4063,310,108,48
"Mujeres (038)",845,780,30,20,15
"De 06 a 14 años (039)",249,222,17,10,
"Hombres (040)",203,179,15,9,
"Mujeres (041)",46,43,2,1,
"De 15 a 29 años (042)",2132,1918,121,62,31
"Hombres (043)",1787,1602,110,52,23
"Mujeres (044)",345,316,11,10,8
"De 30 a 44 años (045)",1668,1474,130,40,24
"Hombres (046)",1413,1243,119,34,17
"Mujeres (047)",255,231,11,6,7
"De 45 a 64 años (048)",1068,976,69,16,7
"Hombres (049)",911,827,64,13,7
"Mujeres (050)",157,149,5,3,
"De 65 y más años (051)",257,253,3,,1
"Hombres (052)",215,212,2,,1
"Mujeres (053)",42,41,1,,
