"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",15253,50282,10003,33473,5250,16809
"Casa independiente (001)",11120,37374,8680,30120,2440,7254
"Departamento en edificio (002)",18,59,18,59,,
"Vivienda en quinta (003)",24,87,24,87,,
"Vivienda en casa de vecindad (004)",344,920,344,920,,
"Choza o cabaña (005)",2780,9480,,,2780,9480
"Vivienda improvisada (006)",590,1502,590,1502,,
"Local no dest.para hab. humana (007)",20,52,16,42,4,10
"Otro tipo (008)",357,808,331,743,26,65
