"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia EL COLLAO (000)",33360,488,9649,10227,9124,3872
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,,3,11,7,1
"Profes., científicos e intelectuales (002)",1277,,256,639,365,17
"Técnicos de nivel medio y trab.asimilados (003)",258,,96,105,52,5
"Jefes y empleados de oficina (004)",337,,115,147,74,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2896,71,971,1071,654,129
"Agricult.trabaj. calif. agrop. y pesqueros (006)",14451,25,2600,4142,4927,2757
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",885,14,378,281,173,39
"Obreros construc., conf., papel, fab., instr. (008)",1162,,362,480,301,19
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",9025,358,3396,2471,2075,725
"Otra (010)",336,,162,138,36,
"Ocupación no especificada (011)",793,1,283,237,170,102
"Desocupado (012)",1918,19,1027,505,290,77
"Hombres (013)",20181,246,5613,6251,5645,2426
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,3,9,6,1
"Profes., científicos e intelectuales (015)",933,,157,449,312,15
"Técnicos de nivel medio y trab.asimilados (016)",190,,66,79,40,5
"Jefes y empleados de oficina (017)",220,,53,99,67,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1080,34,356,362,271,57
"Agricult.trabaj. calif. agrop. y pesqueros (019)",10508,11,1804,3119,3566,2008
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",588,12,248,186,117,25
"Obreros construc., conf., papel, fab., instr. (021)",1125,,350,463,296,16
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3360,175,1563,818,610,194
"Otra (023)",327,,155,136,36,
"Ocupación no especificada (024)",402,1,157,126,79,39
"Desocupado (025)",1429,13,701,405,245,65
"Mujeres (026)",13179,242,4036,3976,3479,1446
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,2,1,
"Profes., científicos e intelectuales (028)",344,,99,190,53,2
"Técnicos de nivel medio y trab.asimilados (029)",68,,30,26,12,
"Jefes y empleados de oficina (030)",117,,62,48,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1816,37,615,709,383,72
"Agricult.trabaj. calif. agrop. y pesqueros (032)",3943,14,796,1023,1361,749
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",297,2,130,95,56,14
