"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ZARUMILLA (000)",10677,9791,21,2461,2404,1814,1764,735,365,227,886,30678
"De 12 a 14 años (001)",32,12,1,10,1,,,,,,20,12
"De 15 a 19 años (002)",475,349,1,317,28,3,,,,,126,382
"De 20 a 24 años (003)",1596,1313,5,871,354,67,14,2,,,283,1851
"De 25 a 29 años (004)",1748,1545,4,585,639,231,79,4,3,,203,2933
"De 30 a 34 años (005)",1540,1450,2,273,549,389,212,22,3,,90,3613
"De 35 a 39 años (006)",1316,1267,3,143,348,414,303,54,2,,49,3738
"De 40 a 44 años (007)",1109,1079,2,100,213,308,342,91,18,5,30,3724
"De 45 a 49 años (008)",854,825,,47,112,201,281,139,37,8,29,3407
"De 50 y más años (009)",2007,1951,3,115,160,201,533,423,302,214,56,11018
"PEA (010)",3570,3185,8,819,847,615,565,208,76,47,385,9306
"De 12 a 14 años (011)",3,1,,,1,,,,,,2,2
"De 15 a 19 años (012)",85,65,,61,2,2,,,,,20,71
"De 20 a 24 años (013)",462,343,1,238,79,18,7,,,,119,480
"De 25 a 29 años (014)",596,467,1,198,180,59,27,2,,,129,858
"De 30 a 34 años (015)",587,534,2,127,203,121,72,7,2,,53,1271
"De 35 a 39 años (016)",525,498,3,68,166,145,100,16,,,27,1360
"De 40 a 44 años (017)",423,413,,56,100,119,110,23,2,3,10,1289
"De 45 a 49 años (018)",348,332,,21,56,87,106,49,10,3,16,1296
"De 50 y más años (019)",541,532,1,50,60,64,143,111,62,41,9,2679
"Ocupada (020)",3437,3077,7,774,824,595,553,204,73,47,360,9051
"De 12 a 14 años (021)",3,1,,,1,,,,,,2,2
"De 15 a 19 años (022)",77,60,,57,1,2,,,,,17,65
