"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6668,1124,1625,2755,32,906,50,176
"Agric., ganadería, caza y silvicultura (001)",3333,,261,2226,6,840,,
"Pesca (002)",5,,3,2,,,,
"Explotación de minas y canteras (003)",856,142,692,19,1,2,,
"Industrias manufactureras (004)",147,11,91,39,2,4,,
"Suministro de electricidad, gas y agua (005)",12,4,7,1,,,,
"Construcción (006)",342,16,281,35,4,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",363,26,34,264,5,34,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,2,28,8,,,,
"Comercio al por mayor (009)",13,1,,11,,1,,
"Comercio al por menor (010)",312,23,6,245,5,33,,
"Hoteles y restaurantes (011)",127,48,17,50,10,2,,
"Trans., almac. y comunicaciones (012)",132,34,60,33,4,1,,
"Intermediación financiera (013)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (014)",85,44,23,18,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",326,214,112,,,,,
"Enseñanza (016)",492,466,3,23,,,,
"Servicios sociales y de salud (017)",87,83,,4,,,,
"Otras activ. serv.comun.soc y personales (018)",19,9,6,4,,,,
"Hogares privados con servicio doméstico (019)",50,,,,,,50,
"Actividad economica no especificada (021)",113,24,35,37,,17,,
"Desocupado (022)",176,,,,,,,176
"Hombres (023)",4667,698,1489,1944,21,370,9,136
"Agric., ganadería, caza y silvicultura (024)",2201,,204,1655,4,338,,
"Pesca (025)",4,,2,2,,,,
"Explotación de minas y canteras (026)",839,128,690,19,1,1,,
"Industrias manufactureras (027)",132,9,82,36,2,3,,
"Suministro de electricidad, gas y agua (028)",11,3,7,1,,,,
"Construcción (029)",327,16,266,35,4,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",169,10,34,115,1,9,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",38,2,28,8,,,,
"Comercio al por mayor (032)",7,,,7,,,,
"Comercio al por menor (033)",124,8,6,100,1,9,,
"Hoteles y restaurantes (034)",39,15,9,8,5,2,,
"Trans., almac. y comunicaciones (035)",128,32,58,33,4,1,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",72,34,22,16,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",240,158,82,,,,,
"Enseñanza (039)",244,235,3,6,,,,
"Servicios sociales y de salud (040)",39,36,,3,,,,
"Otras activ. serv.comun.soc y personales (041)",11,5,6,,,,,
"Hogares privados con servicio doméstico (042)",9,,,,,,9,
"Actividad economica no especificada (044)",65,16,24,15,,10,,
"Desocupado (045)",136,,,,,,,136
"Mujeres (046)",2001,426,136,811,11,536,41,40
"Agric., ganadería, caza y silvicultura (047)",1132,,57,571,2,502,,
"Pesca (048)",1,,1,,,,,
"Explotación de minas y canteras (049)",17,14,2,,,1,,
"Industrias manufactureras (050)",15,2,9,3,,1,,
"Suministro de electricidad, gas y agua (051)",1,1,,,,,,
"Construcción (052)",15,,15,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",194,16,,149,4,25,,
"Comercio al por mayor (055)",6,1,,4,,1,,
"Comercio al por menor (056)",188,15,,145,4,24,,
"Hoteles y restaurantes (057)",88,33,8,42,5,,,
"Trans., almac. y comunicaciones (058)",4,2,2,,,,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",13,10,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",86,56,30,,,,,
"Enseñanza (062)",248,231,,17,,,,
"Servicios sociales y de salud (063)",48,47,,1,,,,
"Otras activ. serv.comun.soc y personales (064)",8,4,,4,,,,
"Hogares privados con servicio doméstico (065)",41,,,,,,41,
"Actividad economica no especificada (067)",48,8,11,22,,7,,
"Desocupado (068)",40,,,,,,,40
,,,,,,,,
"URBANA (069)",2715,803,884,710,12,182,39,85
"Agric., ganadería, caza y silvicultura (070)",587,,56,382,3,146,,
"Explotación de minas y canteras (072)",557,99,454,4,,,,
"Industrias manufactureras (073)",102,9,68,23,,2,,
"Suministro de electricidad, gas y agua (074)",4,1,2,1,,,,
"Construcción (075)",151,7,127,15,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",259,22,24,184,2,27,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",29,2,20,7,,,,
"Comercio al por mayor (078)",10,1,,8,,1,,
"Comercio al por menor (079)",220,19,4,169,2,26,,
"Hoteles y restaurantes (080)",80,26,11,39,3,1,,
"Trans., almac. y comunicaciones (081)",88,21,36,27,3,1,,
"Intermediación financiera (082)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (083)",47,28,9,10,,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",263,185,78,,,,,
"Enseñanza (085)",319,309,,10,,,,
"Servicios sociales y de salud (086)",68,65,,3,,,,
"Otras activ. serv.comun.soc y personales (087)",14,8,4,2,,,,
"Hogares privados con servicio doméstico (088)",39,,,,,,39,
"Actividad economica no especificada (090)",49,20,15,10,,4,,
"Desocupado (091)",85,,,,,,,85
"Hombres (092)",1910,480,829,452,7,81,5,56
"Agric., ganadería, caza y silvicultura (093)",407,,46,290,2,69,,
"Explotación de minas y canteras (095)",543,87,452,4,,,,
"Industrias manufactureras (096)",91,7,63,20,,1,,
"Suministro de electricidad, gas y agua (097)",4,1,2,1,,,,
"Construcción (098)",150,7,126,15,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",113,9,24,74,,6,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",29,2,20,7,,,,
"Comercio al por mayor (101)",6,,,6,,,,
"Comercio al por menor (102)",78,7,4,61,,6,,
"Hoteles y restaurantes (103)",23,8,6,7,1,1,,
"Trans., almac. y comunicaciones (104)",84,19,34,27,3,1,,
"Intermediación financiera (105)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (106)",37,20,9,8,,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",188,134,54,,,,,
"Enseñanza (108)",142,142,,,,,,
"Servicios sociales y de salud (109)",30,28,,2,,,,
"Otras activ. serv.comun.soc y personales (110)",8,4,4,,,,,
"Hogares privados con servicio doméstico (111)",5,,,,,,5,
"Actividad economica no especificada (113)",28,13,9,4,,2,,
"Desocupado (114)",56,,,,,,,56
"Mujeres (115)",805,323,55,258,5,101,34,29
"Agric., ganadería, caza y silvicultura (116)",180,,10,92,1,77,,
"Explotación de minas y canteras (118)",14,12,2,,,,,
"Industrias manufactureras (119)",11,2,5,3,,1,,
"Construcción (121)",1,,1,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",146,13,,110,2,21,,
"Comercio al por mayor (124)",4,1,,2,,1,,
"Comercio al por menor (125)",142,12,,108,2,20,,
"Hoteles y restaurantes (126)",57,18,5,32,2,,,
