"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CALCA (000)",16264,64469,5701,22287,10563,42182
"Casa independiente (001)",14283,56859,5165,20570,9118,36289
"Departamento en edificio (002)",22,64,22,64,,
"Vivienda en quinta (003)",36,157,36,157,,
"Vivienda en casa de vecindad (004)",445,1403,445,1403,,
"Choza o cabaña (005)",1439,5871,,,1439,5871
"Vivienda improvisada (006)",18,49,18,49,,
"Local no dest.para hab. humana (007)",19,58,14,41,5,17
"Otro tipo (008)",2,8,1,3,1,5
