"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHICLAYO (000)",750284,701171,49113
"Casa independiente (001)",709592,661708,47884
"Departamento en edificio (002)",23824,23824,
"Vivienda en quinta (003)",6659,6659,
"Vivienda en casa de vecindad (004)",7395,7395,
"Choza o cabaña (005)",1029,,1029
"Vivienda improvisada (006)",931,931,
"Local no dest.para hab. humana (007)",770,577,193
"Otro tipo (008)",84,77,7
