"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",70368,4200,10778,11688,6690,8469,8217,15011,5315
"Sabe leer y escribir (001)",52154,,8207,11592,6599,7984,6953,9174,1645
"No sabe leer y escribir (002)",18214,4200,2571,96,91,485,1264,5837,3670
"Hombres (004)",35491,2143,5404,6108,3621,4042,4047,7616,2510
"Sabe leer y escribir (005)",29447,,4121,6062,3594,3944,3869,6511,1346
"No sabe leer y escribir (006)",6044,2143,1283,46,27,98,178,1105,1164
"Mujeres (008)",34877,2057,5374,5580,3069,4427,4170,7395,2805
"Sabe leer y escribir (009)",22707,,4086,5530,3005,4040,3084,2663,299
"No sabe leer y escribir (010)",12170,2057,1288,50,64,387,1086,4732,2506
,,,,,,,,,
"URBANA (012)",16359,871,2238,2586,1850,2426,2312,3178,898
"Sabe leer y escribir (013)",13545,,1808,2566,1839,2370,2144,2419,399
"No sabe leer y escribir (014)",2814,871,430,20,11,56,168,759,499
"Hombres (016)",8247,464,1122,1339,999,1139,1144,1657,383
"Sabe leer y escribir (017)",7312,,900,1330,995,1127,1122,1560,278
"No sabe leer y escribir (018)",935,464,222,9,4,12,22,97,105
"Mujeres (020)",8112,407,1116,1247,851,1287,1168,1521,515
"Sabe leer y escribir (021)",6233,,908,1236,844,1243,1022,859,121
"No sabe leer y escribir (022)",1879,407,208,11,7,44,146,662,394
,,,,,,,,,
"RURAL (024)",54009,3329,8540,9102,4840,6043,5905,11833,4417
"Sabe leer y escribir (025)",38609,,6399,9026,4760,5614,4809,6755,1246
"No sabe leer y escribir (026)",15400,3329,2141,76,80,429,1096,5078,3171
"Hombres (028)",27244,1679,4282,4769,2622,2903,2903,5959,2127
"Sabe leer y escribir (029)",22135,,3221,4732,2599,2817,2747,4951,1068
"No sabe leer y escribir (030)",5109,1679,1061,37,23,86,156,1008,1059
"Mujeres (032)",26765,1650,4258,4333,2218,3140,3002,5874,2290
"Sabe leer y escribir (033)",16474,,3178,4294,2161,2797,2062,1804,178
"No sabe leer y escribir (034)",10291,1650,1080,39,57,343,940,4070,2112
