"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia EL COLLAO (000)",31442,28239,1286,502,1415
"Agric., ganadería, caza y silvicultura (001)",21502,20869,602,10,21
"Pesca (002)",166,157,9,,
"Explotación de minas y canteras (003)",18,6,2,3,7
"Industrias manufactureras (004)",700,620,37,32,11
"Suministro de electricidad, gas y agua (005)",21,1,3,11,6
"Construcción (006)",626,467,67,67,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3655,3518,121,16,
"Venta, mant.y rep. veh.autom y motoc. (008)",247,220,21,6,
"Comercio al por mayor (009)",71,62,6,3,
"Comercio al por menor (010)",3337,3236,94,7,
"Hoteles y restaurantes (011)",515,480,34,1,
"Trans., almac. y comunicaciones (012)",878,768,66,17,27
"Intermediación financiera (013)",10,5,1,3,1
"Activid.inmobil., empres. y alquileres (014)",197,124,21,30,22
"Admin.pub. y defensa; p. segur soc.afil (015)",735,,,,735
"Enseñanza (016)",1092,246,240,241,365
"Servicios sociales y de salud (017)",207,40,4,6,157
"Otras activ. serv.comun.soc y personales (018)",185,129,31,13,12
"Hogares privados con servicio doméstico (019)",115,115,,,
"Actividad economica no especificada (021)",820,694,48,52,26
"Hombres (022)",18752,16395,852,402,1103
"Agric., ganadería, caza y silvicultura (023)",12847,12488,344,5,10
"Pesca (024)",137,128,9,,
"Explotación de minas y canteras (025)",16,6,1,2,7
"Industrias manufactureras (026)",378,321,20,28,9
"Suministro de electricidad, gas y agua (027)",19,1,3,11,4
"Construcción (028)",614,458,66,66,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1456,1382,62,12,
"Venta, mant.y rep. veh.autom y motoc. (030)",223,201,16,6,
"Comercio al por mayor (031)",34,28,4,2,
"Comercio al por menor (032)",1199,1153,42,4,
"Hoteles y restaurantes (033)",157,141,15,1,
"Trans., almac. y comunicaciones (034)",841,739,61,15,26
"Intermediación financiera (035)",7,3,,3,1
"Activid.inmobil., empres. y alquileres (036)",159,102,17,26,14
"Admin.pub. y defensa; p. segur soc.afil (037)",625,,,,625
"Enseñanza (038)",796,167,185,172,272
"Servicios sociales y de salud (039)",119,29,4,3,83
"Otras activ. serv.comun.soc y personales (040)",143,93,27,12,11
"Hogares privados con servicio doméstico (041)",15,15,,,
