"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",19761,1052,2739,3049,2176,2846,2338,3988,1573
"Sin nivel (001)",5835,1052,340,47,41,251,702,2138,1264
"Educación inicial (002)",859,,810,17,4,14,14,,
"Primaria (003)",8050,,1589,2520,757,985,785,1191,223
"Secundaria (004)",3512,,,465,1317,1032,392,267,39
"Superior no univ. incompleto (005)",296,,,,42,174,47,29,4
"Superior no univ. completo (006)",588,,,,,206,216,146,20
"Superior univ. incompleto (007)",165,,,,15,87,35,26,2
"Superior univ. completo (008)",456,,,,,97,147,191,21
"Hombres (010)",9531,515,1347,1565,1067,1388,1113,1839,697
"Sin nivel (011)",2043,515,165,21,13,67,224,582,456
"Educación inicial (012)",435,,410,14,1,4,6,,
"Primaria (013)",4153,,772,1291,310,425,384,797,174
"Secundaria (014)",1994,,,239,715,578,234,198,30
"Superior no univ. incompleto (015)",148,,,,21,86,23,17,1
"Superior no univ. completo (016)",341,,,,,113,122,89,17
"Superior univ. incompleto (017)",113,,,,7,60,25,19,2
"Superior univ. completo (018)",304,,,,,55,95,137,17
"Mujeres (020)",10230,537,1392,1484,1109,1458,1225,2149,876
"Sin nivel (021)",3792,537,175,26,28,184,478,1556,808
"Educación inicial (022)",424,,400,3,3,10,8,,
"Primaria (023)",3897,,817,1229,447,560,401,394,49
"Secundaria (024)",1518,,,226,602,454,158,69,9
"Superior no univ. incompleto (025)",148,,,,21,88,24,12,3
"Superior no univ. completo (026)",247,,,,,93,94,57,3
"Superior univ. incompleto (027)",52,,,,8,27,10,7,
"Superior univ. completo (028)",152,,,,,42,52,54,4
,,,,,,,,,
"URBANA (030)",3163,149,371,406,308,568,495,661,205
"Sin nivel (031)",468,149,38,1,,12,29,138,101
"Educación inicial (032)",109,,104,1,,2,2,,
"Primaria (033)",965,,229,305,51,66,87,175,52
"Secundaria (034)",742,,,99,229,203,93,98,20
"Superior no univ. incompleto (035)",149,,,,18,82,28,18,3
"Superior no univ. completo (036)",339,,,,,95,141,90,13
"Superior univ. incompleto (037)",95,,,,10,45,20,18,2
"Superior univ. completo (038)",296,,,,,63,95,124,14
"Hombres (040)",1551,75,180,212,152,263,239,332,98
"Sin nivel (041)",161,75,18,,,,4,34,30
"Educación inicial (042)",61,,57,1,,1,2,,
"Primaria (043)",446,,105,159,23,26,29,74,30
"Secundaria (044)",391,,,52,120,92,45,68,14
"Superior no univ. incompleto (045)",65,,,,5,33,16,10,1
"Superior no univ. completo (046)",176,,,,,48,71,46,11
"Superior univ. incompleto (047)",62,,,,4,31,13,12,2
"Superior univ. completo (048)",189,,,,,32,59,88,10
"Mujeres (050)",1612,74,191,194,156,305,256,329,107
"Sin nivel (051)",307,74,20,1,,12,25,104,71
"Educación inicial (052)",48,,47,,,1,,,
"Primaria (053)",519,,124,146,28,40,58,101,22
"Secundaria (054)",351,,,47,109,111,48,30,6
"Superior no univ. incompleto (055)",84,,,,13,49,12,8,2
"Superior no univ. completo (056)",163,,,,,47,70,44,2
"Superior univ. incompleto (057)",33,,,,6,14,7,6,
"Superior univ. completo (058)",107,,,,,31,36,36,4
,,,,,,,,,
"RURAL (060)",16598,903,2368,2643,1868,2278,1843,3327,1368
"Sin nivel (061)",5367,903,302,46,41,239,673,2000,1163
"Educación inicial (062)",750,,706,16,4,12,12,,
"Primaria (063)",7085,,1360,2215,706,919,698,1016,171
"Secundaria (064)",2770,,,366,1088,829,299,169,19
"Superior no univ. incompleto (065)",147,,,,24,92,19,11,1
"Superior no univ. completo (066)",249,,,,,111,75,56,7
"Superior univ. incompleto (067)",70,,,,5,42,15,8,
"Superior univ. completo (068)",160,,,,,34,52,67,7
"Hombres (070)",7980,440,1167,1353,915,1125,874,1507,599
"Sin nivel (071)",1882,440,147,21,13,67,220,548,426
"Educación inicial (072)",374,,353,13,1,3,4,,
"Primaria (073)",3707,,667,1132,287,399,355,723,144
"Secundaria (074)",1603,,,187,595,486,189,130,16
"Superior no univ. incompleto (075)",83,,,,16,53,7,7,
"Superior no univ. completo (076)",165,,,,,65,51,43,6
"Superior univ. incompleto (077)",51,,,,3,29,12,7,
"Superior univ. completo (078)",115,,,,,23,36,49,7
"Mujeres (080)",8618,463,1201,1290,953,1153,969,1820,769
"Sin nivel (081)",3485,463,155,25,28,172,453,1452,737
"Educación inicial (082)",376,,353,3,3,9,8,,
"Primaria (083)",3378,,693,1083,419,520,343,293,27
"Secundaria (084)",1167,,,179,493,343,110,39,3
"Superior no univ. incompleto (085)",64,,,,8,39,12,4,1
"Superior no univ. completo (086)",84,,,,,46,24,13,1
"Superior univ. incompleto (087)",19,,,,2,13,3,1,
"Superior univ. completo (088)",45,,,,,11,16,18,
