"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CHICLAYO (000)",757452,750449,5035,1968
"Hombres (001)",365468,362130,2330,1008
"Mujeres (002)",391984,388319,2705,960
"Menores de 1 año (003)",13003,11024,1506,473
"Hombres (004)",6627,5599,792,236
"Mujeres (005)",6376,5425,714,237
"De 1 a 5 años (006)",69723,65701,2631,1391
"Hombres (007)",35448,33385,1330,733
"Mujeres (008)",34275,32316,1301,658
"De 6 a 14 años (009)",133622,133472,109,41
"Hombres (010)",67420,67350,47,23
"Mujeres (011)",66202,66122,62,18
"De 15 a 29 años (012)",208139,208066,60,13
"Hombres (013)",100082,100054,21,7
"Mujeres (014)",108057,108012,39,6
"De 30 a 44 años (015)",158368,158272,79,17
"Hombres (016)",73230,73210,15,5
"Mujeres (017)",85138,85062,64,12
"De 45 a 64 años (018)",123759,123594,156,9
"Hombres (019)",58069,58039,29,1
"Mujeres (020)",65690,65555,127,8
"De 65 a más años (021)",50838,50320,494,24
"Hombres (022)",24592,24493,96,3
"Mujeres (023)",26246,25827,398,21
,,,,
"URBANA (024)",708279,701695,4776,1808
"Hombres (025)",340307,337163,2209,935
"Mujeres (026)",367972,364532,2567,873
"Menores de 1 año (027)",12139,10262,1438,439
"Hombres (028)",6162,5192,750,220
"Mujeres (029)",5977,5070,688,219
"De 1 a 5 años (030)",64509,60718,2518,1273
"Hombres (031)",32769,30826,1265,678
"Mujeres (032)",31740,29892,1253,595
"De 6 a 14 años (033)",123975,123839,97,39
"Hombres (034)",62450,62384,44,22
"Mujeres (035)",61525,61455,53,17
"De 15 a 29 años (036)",195079,195009,58,12
"Hombres (037)",93346,93319,20,7
"Mujeres (038)",101733,101690,38,5
"De 30 a 44 años (039)",148557,148478,65,14
"Hombres (040)",68438,68422,12,4
"Mujeres (041)",80119,80056,53,10
"De 45 a 64 años (042)",116548,116408,133,7
"Hombres (043)",54374,54345,28,1
"Mujeres (044)",62174,62063,105,6
"De 65 a más años (045)",47472,46981,467,24
"Hombres (046)",22768,22675,90,3
"Mujeres (047)",24704,24306,377,21
,,,,
"RURAL (048)",49173,48754,259,160
"Hombres (049)",25161,24967,121,73
"Mujeres (050)",24012,23787,138,87
"Menores de 1 año (051)",864,762,68,34
"Hombres (052)",465,407,42,16
"Mujeres (053)",399,355,26,18
"De 1 a 5 años (054)",5214,4983,113,118
"Hombres (055)",2679,2559,65,55
"Mujeres (056)",2535,2424,48,63
"De 6 a 14 años (057)",9647,9633,12,2
"Hombres (058)",4970,4966,3,1
"Mujeres (059)",4677,4667,9,1
"De 15 a 29 años (060)",13060,13057,2,1
"Hombres (061)",6736,6735,1,
"Mujeres (062)",6324,6322,1,1
"De 30 a 44 años (063)",9811,9794,14,3
"Hombres (064)",4792,4788,3,1
"Mujeres (065)",5019,5006,11,2
"De 45 a 64 años (066)",7211,7186,23,2
"Hombres (067)",3695,3694,1,
"Mujeres (068)",3516,3492,22,2
"De 65 a más años (069)",3366,3339,27,
"Hombres (070)",1824,1818,6,
"Mujeres (071)",1542,1521,21,
