"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANGARAES (000)",13251,12466,59,1990,2030,1696,3176,2217,1035,263,785,51003
"De 12 a 14 años (001)",41,16,1,11,4,,,,,,25,19
"De 15 a 19 años (002)",420,343,3,290,40,6,4,,,,77,404
"De 20 a 24 años (003)",1541,1270,6,624,448,151,30,11,,,271,2163
"De 25 a 29 años (004)",1718,1514,6,341,464,371,301,27,4,,204,3862
"De 30 a 34 años (005)",1602,1531,7,204,319,278,533,166,22,2,71,5279
"De 35 a 39 años (006)",1373,1323,4,95,182,203,434,330,71,4,50,5736
"De 40 a 44 años (007)",1352,1330,3,63,116,151,386,380,187,44,22,6959
"De 45 a 49 años (008)",1162,1145,5,65,88,104,303,305,207,68,17,6350
"De 50 y más años (009)",4042,3994,24,297,369,432,1185,998,544,145,48,20231
"Conviviente (010)",2169,2032,3,716,525,288,300,134,51,15,137,5378
"De 12 a 14 años (011)",21,5,,5,,,,,,,16,5
"De 15 a 19 años (012)",229,175,,156,15,2,2,,,,54,200
"De 20 a 24 años (013)",548,515,,278,185,45,5,2,,,33,815
"De 25 a 29 años (014)",483,461,1,158,149,98,53,,2,,22,985
"De 30 a 34 años (015)",297,293,1,65,82,58,60,21,5,1,4,846
"De 35 a 39 años (016)",196,194,,18,47,33,61,32,3,,2,709
"De 40 a 44 años (017)",134,133,,11,13,25,36,30,12,6,1,627
"De 45 a 49 años (018)",91,89,1,6,10,11,30,18,11,2,2,422
"De 50 y más años (019)",170,167,,19,24,16,53,31,18,6,3,769
"Separado(a) (020)",552,530,,203,128,72,76,34,12,5,22,1391
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",41,34,,29,5,,,,,,7,39
"De 20 a 24 años (023)",109,103,,76,19,6,1,1,,,6,142
