"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHINCHEROS (000)",11750,1783,2829,5503,90,1402,143
"Sin nivel (001)",1416,6,336,838,15,202,19
"Educación inicial (002)",6,,1,4,1,,
"Primaria (003)",4594,52,1305,2570,27,576,64
"Secundaria (004)",3655,220,1097,1692,32,559,55
"Superior no univ. incompleta (005)",313,94,42,142,2,30,3
"Superior no univ. completa (006)",688,510,29,127,1,20,1
"Superior univ. incompleta (007)",194,101,15,62,4,11,1
"Superior univ. completa (008)",884,800,4,68,8,4,
"Hombres (010)",9290,1064,2642,4489,71,1016,8
"Sin nivel (011)",990,2,280,610,12,86,
"Educación inicial (012)",5,,1,3,1,,
"Primaria (013)",3919,32,1227,2205,23,429,3
"Secundaria (014)",3056,148,1048,1380,23,454,3
"Superior no univ. incompleta (015)",231,62,41,103,2,22,1
"Superior no univ. completa (016)",430,301,27,83,1,17,1
"Superior univ. incompleta (017)",130,59,15,47,3,6,
"Superior univ. completa (018)",529,460,3,58,6,2,
"Mujeres (020)",2460,719,187,1014,19,386,135
"Sin nivel (021)",426,4,56,228,3,116,19
"Educación inicial (022)",1,,,1,,,
"Primaria (023)",675,20,78,365,4,147,61
"Secundaria (024)",599,72,49,312,9,105,52
"Superior no univ. incompleta (025)",82,32,1,39,,8,2
"Superior no univ. completa (026)",258,209,2,44,,3,
"Superior univ. incompleta (027)",64,42,,15,1,5,1
"Superior univ. completa (028)",355,340,1,10,2,2,
,,,,,,,
"URBANA (030)",4751,1384,763,2051,57,412,84
"Sin nivel (031)",372,4,73,236,4,46,9
"Educación inicial (032)",4,,1,2,1,,
"Primaria (033)",1363,36,299,834,16,141,37
"Secundaria (034)",1422,142,345,689,21,191,34
"Superior no univ. incompleta (035)",201,61,22,100,2,14,2
"Superior no univ. completa (036)",485,384,9,84,1,6,1
"Superior univ. incompleta (037)",154,80,12,47,4,10,1
"Superior univ. completa (038)",750,677,2,59,8,4,
"Hombres (040)",3228,820,687,1418,40,258,5
"Sin nivel (041)",186,1,47,122,1,15,
"Educación inicial (042)",3,,1,1,1,,
"Primaria (043)",1022,25,270,618,13,94,2
"Secundaria (044)",1050,97,326,484,13,129,1
"Superior no univ. incompleta (045)",140,41,22,67,2,7,1
"Superior no univ. completa (046)",286,225,8,45,1,6,1
"Superior univ. incompleta (047)",97,45,12,32,3,5,
"Superior univ. completa (048)",444,386,1,49,6,2,
"Mujeres (050)",1523,564,76,633,17,154,79
"Sin nivel (051)",186,3,26,114,3,31,9
"Educación inicial (052)",1,,,1,,,
"Primaria (053)",341,11,29,216,3,47,35
"Secundaria (054)",372,45,19,205,8,62,33
"Superior no univ. incompleta (055)",61,20,,33,,7,1
"Superior no univ. completa (056)",199,159,1,39,,,
"Superior univ. incompleta (057)",57,35,,15,1,5,1
"Superior univ. completa (058)",306,291,1,10,2,2,
,,,,,,,
"RURAL (060)",6999,399,2066,3452,33,990,59
"Sin nivel (061)",1044,2,263,602,11,156,10
"Educación inicial (062)",2,,,2,,,
"Primaria (063)",3231,16,1006,1736,11,435,27
"Secundaria (064)",2233,78,752,1003,11,368,21
"Superior no univ. incompleta (065)",112,33,20,42,,16,1
"Superior no univ. completa (066)",203,126,20,43,,14,
"Superior univ. incompleta (067)",40,21,3,15,,1,
"Superior univ. completa (068)",134,123,2,9,,,
"Hombres (070)",6062,244,1955,3071,31,758,3
"Sin nivel (071)",804,1,233,488,11,71,
"Educación inicial (072)",2,,,2,,,
"Primaria (073)",2897,7,957,1587,10,335,1
"Secundaria (074)",2006,51,722,896,10,325,2
"Superior no univ. incompleta (075)",91,21,19,36,,15,
"Superior no univ. completa (076)",144,76,19,38,,11,
"Superior univ. incompleta (077)",33,14,3,15,,1,
"Superior univ. completa (078)",85,74,2,9,,,
"Mujeres (080)",937,155,111,381,2,232,56
"Sin nivel (081)",240,1,30,114,,85,10
"Primaria (083)",334,9,49,149,1,100,26
"Secundaria (084)",227,27,30,107,1,43,19
"Superior no univ. incompleta (085)",21,12,1,6,,1,1
"Superior no univ. completa (086)",59,50,1,5,,3,
"Superior univ. incompleta (087)",7,7,,,,,
"Superior univ. completa (088)",49,49,,,,,
