"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",104667,2999,40749,26545,18120,12504,3750
"Hombres (001)",53459,1494,20749,13229,9337,6765,1885
"Mujeres (002)",51208,1505,20000,13316,8783,5739,1865
"Viviendas particulares (003)",103588,2979,40640,26069,17844,12329,3727
"Hombres (004)",52728,1488,20689,12918,9126,6636,1871
"Mujeres (005)",50860,1491,19951,13151,8718,5693,1856
"Viviendas colectivas (006)",813,14,77,381,202,120,19
"Hombres (007)",542,4,44,245,151,86,12
"Mujeres (008)",271,10,33,136,51,34,7
"Otro tipo (009)",266,6,32,95,74,55,4
"Hombres (010)",189,2,16,66,60,43,2
"Mujeres (011)",77,4,16,29,14,12,2
,,,,,,,
"URBANA (012)",62782,1553,22062,16615,11505,8289,2758
"Hombres (013)",31419,776,11202,8099,5659,4348,1335
"Mujeres (014)",31363,777,10860,8516,5846,3941,1423
"Viviendas particulares (015)",61796,1533,21978,16190,11240,8120,2735
"Hombres (016)",30736,770,11155,7814,5454,4222,1321
"Mujeres (017)",31060,763,10823,8376,5786,3898,1414
"Viviendas colectivas (018)",732,14,52,337,194,116,19
"Hombres (019)",504,4,31,224,148,85,12
"Mujeres (020)",228,10,21,113,46,31,7
"Otro tipo (021)",254,6,32,88,71,53,4
"Hombres (022)",179,2,16,61,57,41,2
"Mujeres (023)",75,4,16,27,14,12,2
,,,,,,,
"RURAL (024)",41885,1446,18687,9930,6615,4215,992
"Hombres (025)",22040,718,9547,5130,3678,2417,550
"Mujeres (026)",19845,728,9140,4800,2937,1798,442
"Viviendas particulares (027)",41792,1446,18662,9879,6604,4209,992
"Hombres (028)",21992,718,9534,5104,3672,2414,550
"Mujeres (029)",19800,728,9128,4775,2932,1795,442
"Viviendas colectivas (030)",81,,25,44,8,4,
"Hombres (031)",38,,13,21,3,1,
"Mujeres (032)",43,,12,23,5,3,
"Otro tipo (033)",12,,,7,3,2,
"Hombres (034)",10,,,5,3,2,
"Mujeres (035)",2,,,2,,,
