"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANGALLO (000)",32567,1710,4359,4698,3235,4531,4020,6724,3290
"Sin nivel (001)",7604,1710,473,32,42,183,396,2504,2264
"Educación inicial (002)",935,,882,15,9,9,20,,
"Primaria (003)",15092,,3004,3621,842,1717,1975,3038,895
"Secundaria (004)",7209,,,1030,2281,2004,1092,720,82
"Superior no univ. incompleto (005)",448,,,,33,237,102,70,6
"Superior no univ. completo (006)",679,,,,,221,267,175,16
"Superior univ. incompleto (007)",174,,,,28,73,31,40,2
"Superior univ. completo (008)",426,,,,,87,137,177,25
"Hombres (010)",15527,838,2175,2455,1631,2126,1893,3061,1348
"Sin nivel (011)",2122,838,249,16,22,39,59,359,540
"Educación inicial (012)",459,,440,9,4,2,4,,
"Primaria (013)",7372,,1486,1833,292,512,748,1792,709
"Secundaria (014)",4501,,,597,1277,1205,770,588,64
"Superior no univ. incompleto (015)",292,,,,16,146,67,58,5
"Superior no univ. completo (016)",366,,,,,110,138,107,11
"Superior univ. incompleto (017)",127,,,,20,50,23,32,2
"Superior univ. completo (018)",288,,,,,62,84,125,17
"Mujeres (020)",17040,872,2184,2243,1604,2405,2127,3663,1942
"Sin nivel (021)",5482,872,224,16,20,144,337,2145,1724
"Educación inicial (022)",476,,442,6,5,7,16,,
"Primaria (023)",7720,,1518,1788,550,1205,1227,1246,186
"Secundaria (024)",2708,,,433,1004,799,322,132,18
"Superior no univ. incompleto (025)",156,,,,17,91,35,12,1
"Superior no univ. completo (026)",313,,,,,111,129,68,5
"Superior univ. incompleto (027)",47,,,,8,23,8,8,
"Superior univ. completo (028)",138,,,,,25,53,52,8
,,,,,,,,,
"URBANA (030)",11376,556,1421,1691,1246,1582,1560,2316,1004
"Sin nivel (031)",2137,556,124,9,9,48,136,630,625
"Educación inicial (032)",327,,307,6,4,3,7,,
"Primaria (033)",4713,,990,1224,218,432,572,983,294
"Secundaria (034)",2944,,,452,973,689,446,336,48
"Superior no univ. incompleto (035)",289,,,,22,147,64,51,5
"Superior no univ. completo (036)",490,,,,,139,195,145,11
"Superior univ. incompleto (037)",133,,,,20,57,23,32,1
"Superior univ. completo (038)",343,,,,,67,117,139,20
"Hombres (040)",5471,275,694,906,635,750,714,1105,392
"Sin nivel (041)",571,275,63,5,4,9,15,84,116
"Educación inicial (042)",164,,158,3,2,,1,,
"Primaria (043)",2276,,473,642,82,131,201,531,216
"Secundaria (044)",1719,,,256,523,378,279,250,33
"Superior no univ. incompleto (045)",179,,,,10,86,38,41,4
"Superior no univ. completo (046)",245,,,,,59,94,84,8
"Superior univ. incompleto (047)",95,,,,14,39,16,25,1
"Superior univ. completo (048)",222,,,,,48,70,90,14
"Mujeres (050)",5905,281,727,785,611,832,846,1211,612
"Sin nivel (051)",1566,281,61,4,5,39,121,546,509
"Educación inicial (052)",163,,149,3,2,3,6,,
"Primaria (053)",2437,,517,582,136,301,371,452,78
"Secundaria (054)",1225,,,196,450,311,167,86,15
"Superior no univ. incompleto (055)",110,,,,12,61,26,10,1
"Superior no univ. completo (056)",245,,,,,80,101,61,3
"Superior univ. incompleto (057)",38,,,,6,18,7,7,
"Superior univ. completo (058)",121,,,,,19,47,49,6
,,,,,,,,,
"RURAL (060)",21191,1154,2938,3007,1989,2949,2460,4408,2286
"Sin nivel (061)",5467,1154,349,23,33,135,260,1874,1639
"Educación inicial (062)",608,,575,9,5,6,13,,
"Primaria (063)",10379,,2014,2397,624,1285,1403,2055,601
"Secundaria (064)",4265,,,578,1308,1315,646,384,34
"Superior no univ. incompleto (065)",159,,,,11,90,38,19,1
"Superior no univ. completo (066)",189,,,,,82,72,30,5
"Superior univ. incompleto (067)",41,,,,8,16,8,8,1
"Superior univ. completo (068)",83,,,,,20,20,38,5
"Hombres (070)",10056,563,1481,1549,996,1376,1179,1956,956
"Sin nivel (071)",1551,563,186,11,18,30,44,275,424
"Educación inicial (072)",295,,282,6,2,2,3,,
"Primaria (073)",5096,,1013,1191,210,381,547,1261,493
"Secundaria (074)",2782,,,341,754,827,491,338,31
"Superior no univ. incompleto (075)",113,,,,6,60,29,17,1
"Superior no univ. completo (076)",121,,,,,51,44,23,3
"Superior univ. incompleto (077)",32,,,,6,11,7,7,1
"Superior univ. completo (078)",66,,,,,14,14,35,3
"Mujeres (080)",11135,591,1457,1458,993,1573,1281,2452,1330
"Sin nivel (081)",3916,591,163,12,15,105,216,1599,1215
"Educación inicial (082)",313,,293,3,3,4,10,,
"Primaria (083)",5283,,1001,1206,414,904,856,794,108
"Secundaria (084)",1483,,,237,554,488,155,46,3
"Superior no univ. incompleto (085)",46,,,,5,30,9,2,
"Superior no univ. completo (086)",68,,,,,31,28,7,2
"Superior univ. incompleto (087)",9,,,,2,5,1,1,
"Superior univ. completo (088)",17,,,,,6,6,3,2
