"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia COTABAMBAS (000)",14907,49303,41601,,1048,84.4,2.1
"De 12 a 14 años (001)",1914,17,17,,2,100,11.8
"De 15 a 19 años (002)",1765,351,337,98,96,27.9,
"De 20 a 24 años (003)",1316,1724,1676,213,97.2,12.4,
"De 25 a 29 años (004)",1431,3330,3144,248,94.4,7.4,
"De 30 a 34 años (005)",1361,4821,4491,221,93.2,4.6,
"De 35 a 39 años (006)",1263,5906,5287,158,89.5,2.7,
"De 40 a 44 años (007)",1179,6718,5844,91,87,1.4,
"De 45 a 49 años (008)",966,5610,4846,17,86.4,0.3,
"De 50 y más años (009)",3712,20826,15959,,76.6,,
"PEA (010)",2100,6264,5588,126,89.2,2,
"De 12 a 14 años (011)",39,5,5,,100,,
"De 15 a 19 años (012)",147,42,41,10,97.6,23.8,
"De 20 a 24 años (013)",216,227,224,23,98.7,10.1,
"De 25 a 29 años (014)",328,507,477,33,94.1,6.5,
"De 30 a 34 años (015)",326,804,764,32,95,4,
"De 35 a 39 años (016)",278,934,876,20,93.8,2.1,
"De 40 a 44 años (017)",215,926,824,8,89,0.9,
"De 45 a 49 años (018)",163,829,721,,87,,
"De 50 y más años (019)",388,1990,1656,,83.2,,
"Ocupada (020)",1956,5841,5231,117,89.6,2,
"De 12 a 14 años (021)",31,5,5,,100,,
"De 15 a 19 años (022)",124,36,35,8,97.2,22.2,
"De 20 a 24 años (023)",196,205,202,22,98.5,10.7,
"De 25 a 29 años (024)",313,474,446,32,94.1,6.8,
"De 30 a 34 años (025)",301,701,674,27,96.1,3.9,
"De 35 a 39 años (026)",268,900,845,20,93.9,2.2,
"De 40 a 44 años (027)",200,856,769,8,89.8,0.9,
"De 45 a 49 años (028)",154,770,681,,88.4,,
"De 50 y más años (029)",369,1894,1574,,83.1,,
"Desocupada (030)",144,423,357,9,84.4,2.1,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",23,6,6,2,100,33.3,
"De 20 a 24 años (033)",20,22,22,1,100,4.5,
"De 25 a 29 años (034)",15,33,31,1,93.9,3,
"De 30 a 34 años (035)",25,103,90,5,87.4,4.9,
"De 35 a 39 años (036)",10,34,31,,91.2,,
"De 40 a 44 años (037)",15,70,55,,78.6,,
