"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LORETO (000)",59590,24202,35388
"Casa independiente (001)",46133,23774,22359
"Departamento en edificio (002)",8,8,
"Vivienda en quinta (003)",268,268,
"Vivienda en casa de vecindad (004)",29,29,
"Choza o cabaña (005)",12997,,12997
"Vivienda improvisada (006)",101,101,
"Local no dest.para hab. humana (007)",43,14,29
"Otro tipo (008)",11,8,3
