"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia YAROWILCA (000)",7685,19,130,398,789,1390,3307,1652
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",230,,,,,,149,81
"De 20 a 24 años (003)",776,,,,,2,495,279
"De 25 a 29 años (004)",875,,,,,24,656,195
"De 30 a 34 años (005)",895,,,,,82,649,164
"De 35 a 39 años (006)",840,,,,1,161,562,116
"De 40 a 44 años (007)",799,,,,14,194,466,125
"De 45 a 49 años (008)",690,,,1,39,307,269,74
"De 50 y más años (009)",2569,19,130,397,735,620,61,607
"Sin nivel (010)",2525,14,101,303,467,488,598,554
"De 15 a 19 años (012)",5,,,,,,3,2
"De 20 a 24 años (013)",39,,,,,,26,13
"De 25 a 29 años (014)",63,,,,,,52,11
"De 30 a 34 años (015)",134,,,,,4,108,22
"De 35 a 39 años (016)",162,,,,,17,120,25
"De 40 a 44 años (017)",236,,,,3,51,149,33
"De 45 a 49 años (018)",247,,,,9,99,111,28
"De 50 y más años (019)",1639,14,101,303,455,317,29,420
"Educacion Inicial (020)",20,,,,,3,11,6
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",4,,,,,,,4
"De 25 a 29 años (024)",5,,,,,2,2,1
"De 30 a 34 años (025)",8,,,,,1,6,1
"De 35 a 39 años (026)",2,,,,,,2,
"Primaria (030)",3493,5,27,92,287,687,1786,609
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",94,,,,,,53,41
"De 20 a 24 años (033)",291,,,,,1,201,89
"De 25 a 29 años (034)",455,,,,,4,364,87
"De 30 a 34 años (035)",506,,,,,46,386,74
"De 35 a 39 años (036)",464,,,,,90,324,50
"De 40 a 44 años (037)",453,,,,8,103,280,62
"De 45 a 49 años (038)",375,,,1,22,173,148,31
"De 50 y más años (039)",847,5,27,91,257,270,30,167
"Secundaria (040)",1341,,2,2,20,154,775,388
"De 12 a 14 años (041)",3,,,,,,,3
"De 15 a 19 años (042)",128,,,,,,91,37
"De 20 a 24 años (043)",395,,,,,1,240,154
"De 25 a 29 años (044)",285,,,,,17,200,68
"De 30 a 34 años (045)",193,,,,,23,120,50
"De 35 a 39 años (046)",155,,,,,40,86,29
"De 40 a 44 años (047)",79,,,,2,27,28,22
"De 45 a 49 años (048)",51,,,,5,27,8,11
"De 50 y más años (049)",52,,2,2,13,19,2,14
"Sup. no Univ. incompleta (050)",57,,,,4,11,22,20
"De 20 a 24 años (053)",14,,,,,,7,7
"De 25 a 29 años (054)",16,,,,,1,9,6
"De 30 a 34 años (055)",7,,,,,3,2,2
