"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYABACA (000)",35768,32579,1596,554,1039
"Agric., ganadería, caza y silvicultura (001)",27078,26469,559,44,6
"Pesca (002)",12,10,1,1,
"Explotación de minas y canteras (003)",404,275,94,15,20
"Industrias manufactureras (004)",525,487,21,10,7
"Suministro de electricidad, gas y agua (005)",79,40,17,21,1
"Construcción (006)",612,412,148,43,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1734,1675,51,8,
"Venta, mant.y rep. veh.autom y motoc. (008)",69,64,4,1,
"Comercio al por mayor (009)",90,84,4,2,
"Comercio al por menor (010)",1575,1527,43,5,
"Hoteles y restaurantes (011)",570,514,52,4,
"Trans., almac. y comunicaciones (012)",469,424,25,18,2
"Intermediación financiera (013)",9,5,1,,3
"Activid.inmobil., empres. y alquileres (014)",205,97,43,38,27
"Admin.pub. y defensa; p. segur soc.afil (015)",511,,,,511
"Enseñanza (016)",1579,638,407,310,224
"Servicios sociales y de salud (017)",229,66,30,8,125
"Otras activ. serv.comun.soc y personales (018)",172,129,25,12,6
"Hogares privados con servicio doméstico (019)",395,395,,,
"Actividad economica no especificada (021)",1185,943,122,22,98
"Hombres (022)",30891,28642,1230,329,690
"Agric., ganadería, caza y silvicultura (023)",26013,25425,540,43,5
"Pesca (024)",11,9,1,1,
"Explotación de minas y canteras (025)",398,272,93,14,19
"Industrias manufactureras (026)",326,298,17,7,4
"Suministro de electricidad, gas y agua (027)",76,40,16,19,1
"Construcción (028)",607,407,148,43,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1018,983,31,4,
"Venta, mant.y rep. veh.autom y motoc. (030)",66,61,4,1,
"Comercio al por mayor (031)",52,50,1,1,
"Comercio al por menor (032)",900,872,26,2,
"Hoteles y restaurantes (033)",154,132,20,2,
"Trans., almac. y comunicaciones (034)",457,415,24,16,2
"Intermediación financiera (035)",4,2,1,,1
"Activid.inmobil., empres. y alquileres (036)",126,60,28,22,16
"Admin.pub. y defensa; p. segur soc.afil (037)",381,,,,381
"Enseñanza (038)",711,231,226,137,117
"Servicios sociales y de salud (039)",90,34,12,1,43
"Otras activ. serv.comun.soc y personales (040)",92,62,16,9,5
"Hogares privados con servicio doméstico (041)",17,17,,,
"Actividad economica no especificada (043)",410,255,57,11,87
