"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MANU (000)",18723,919,1956,1694,2020,5126,3484,3202,322
"Sabe leer y escribir (001)",16671,,1522,1676,1999,5056,3367,2864,187
"No sabe leer y escribir (002)",2052,919,434,18,21,70,117,338,135
"Hombres (004)",10817,457,1005,858,1056,2963,2130,2142,206
"Sabe leer y escribir (005)",9872,,777,849,1045,2934,2098,2026,143
"No sabe leer y escribir (006)",945,457,228,9,11,29,32,116,63
"Mujeres (008)",7906,462,951,836,964,2163,1354,1060,116
"Sabe leer y escribir (009)",6799,,745,827,954,2122,1269,838,44
"No sabe leer y escribir (010)",1107,462,206,9,10,41,85,222,72
,,,,,,,,,
"URBANA (012)",6704,333,864,822,702,1458,1280,1140,105
"Sabe leer y escribir (013)",6019,,701,820,697,1449,1247,1032,73
"No sabe leer y escribir (014)",685,333,163,2,5,9,33,108,32
"Hombres (016)",3440,172,452,398,344,672,655,681,66
"Sabe leer y escribir (017)",3125,,364,397,341,669,647,656,51
"No sabe leer y escribir (018)",315,172,88,1,3,3,8,25,15
"Mujeres (020)",3264,161,412,424,358,786,625,459,39
"Sabe leer y escribir (021)",2894,,337,423,356,780,600,376,22
"No sabe leer y escribir (022)",370,161,75,1,2,6,25,83,17
,,,,,,,,,
"RURAL (024)",12019,586,1092,872,1318,3668,2204,2062,217
"Sabe leer y escribir (025)",10652,,821,856,1302,3607,2120,1832,114
"No sabe leer y escribir (026)",1367,586,271,16,16,61,84,230,103
"Hombres (028)",7377,285,553,460,712,2291,1475,1461,140
"Sabe leer y escribir (029)",6747,,413,452,704,2265,1451,1370,92
"No sabe leer y escribir (030)",630,285,140,8,8,26,24,91,48
"Mujeres (032)",4642,301,539,412,606,1377,729,601,77
"Sabe leer y escribir (033)",3905,,408,404,598,1342,669,462,22
"No sabe leer y escribir (034)",737,301,131,8,8,35,60,139,55
