"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ACOBAMBA (000)",15213,23,729,178,184,807,6123,202,325,6148,26,468
"Agric., ganadería, caza y silvicultura (001)",11622,,10,6,1,,6121,3,3,5478,,
"Pesca (002)",3,,,,,,2,,,1,,
"Explotación de minas y canteras (003)",25,,1,1,3,,,11,,9,,
"Industrias manufactureras (004)",168,,2,3,1,4,,141,16,1,,
"Suministro de electricidad, gas y agua (005)",9,,,1,1,,,,,7,,
"Construcción (006)",259,,5,9,1,,,6,142,96,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",970,,3,13,,681,,35,4,234,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",39,,1,,,9,,25,4,,,
"Comercio al por mayor (009)",33,,1,,,32,,,,,,
"Comercio al por menor (010)",898,,1,13,,640,,10,,234,,
"Hoteles y restaurantes (011)",214,,,10,1,86,,1,,116,,
"Trans., almac. y comunicaciones (012)",181,,1,2,4,,,,147,27,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",94,,34,22,18,10,,,3,7,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",255,19,16,13,120,5,,1,8,47,26,
"Enseñanza (016)",634,4,599,6,15,,,,1,9,,
"Servicios sociales y de salud (017)",158,,49,70,12,3,,1,1,22,,
"Otras activ. serv.comun.soc y personales (018)",74,,7,22,5,18,,3,,19,,
"Hogares privados con servicio doméstico (019)",75,,,,,,,,,75,,
"Actividad economica no especificada (021)",471,,2,,1,,,,,,,468
"Hombres (022)",10294,20,424,127,127,363,5055,165,319,3466,24,204
"Agric., ganadería, caza y silvicultura (023)",8178,,5,6,1,,5055,2,3,3106,,
"Explotación de minas y canteras (025)",25,,1,1,3,,,11,,9,,
"Industrias manufactureras (026)",131,,1,3,1,4,,106,15,1,,
"Suministro de electricidad, gas y agua (027)",8,,,1,,,,,,7,,
"Construcción (028)",250,,5,9,1,,,6,139,90,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",487,,2,10,,312,,34,3,126,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",35,,1,,,7,,24,3,,,
"Comercio al por mayor (031)",18,,,,,18,,,,,,
"Comercio al por menor (032)",434,,1,10,,287,,10,,126,,
"Hoteles y restaurantes (033)",66,,,5,,29,,1,,31,,
"Trans., almac. y comunicaciones (034)",174,,1,2,2,,,,146,23,,
"Intermediación financiera (035)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",74,,28,18,10,10,,,3,5,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",207,17,11,10,93,5,,1,8,38,24,
"Enseñanza (038)",362,3,339,4,9,,,,1,6,,
"Servicios sociales y de salud (039)",71,,22,39,5,1,,1,1,2,,
"Otras activ. serv.comun.soc y personales (040)",40,,7,19,1,2,,3,,8,,
"Hogares privados con servicio doméstico (041)",14,,,,,,,,,14,,
"Actividad economica no especificada (043)",206,,2,,,,,,,,,204
