"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia REQUENA (000)",21213,17146,2193,1070,804
"Hombres (001)",14867,11905,1664,717,581
"Mujeres (002)",6346,5241,529,353,223
"De 06 a 14 años (003)",686,592,68,26,
"Hombres (004)",472,405,45,22,
"Mujeres (005)",214,187,23,4,
"De 15 a 29 años (006)",7004,5669,805,298,232
"Hombres (007)",4880,3876,628,213,163
"Mujeres (008)",2124,1793,177,85,69
"De 30 a 44 años (009)",7141,5513,776,481,371
"Hombres (010)",4938,3795,585,296,262
"Mujeres (011)",2203,1718,191,185,109
"De 45 a 64 años (012)",4961,4055,460,255,191
"Hombres (013)",3478,2810,343,178,147
"Mujeres (014)",1483,1245,117,77,44
"De 65 y más años (015)",1421,1317,84,10,10
"Hombres (016)",1099,1019,63,8,9
"Mujeres (017)",322,298,21,2,1
,,,,,
"URBANA (018)",11926,8836,1365,955,770
"Hombres (019)",7961,5777,1005,626,553
"Mujeres (020)",3965,3059,360,329,217
"De 06 a 14 años (021)",358,292,45,21,
"Hombres (022)",245,196,31,18,
"Mujeres (023)",113,96,14,3,
"De 15 a 29 años (024)",3759,2807,471,261,220
"Hombres (025)",2481,1781,363,184,153
"Mujeres (026)",1278,1026,108,77,67
"De 30 a 44 años (027)",4205,2919,496,436,354
"Hombres (028)",2734,1874,353,259,248
"Mujeres (029)",1471,1045,143,177,106
"De 45 a 64 años (030)",2862,2148,299,229,186
"Hombres (031)",1950,1429,219,159,143
"Mujeres (032)",912,719,80,70,43
"De 65 y más años (033)",742,670,54,8,10
"Hombres (034)",551,497,39,6,9
"Mujeres (035)",191,173,15,2,1
,,,,,
"RURAL (036)",9287,8310,828,115,34
"Hombres (037)",6906,6128,659,91,28
"Mujeres (038)",2381,2182,169,24,6
"De 06 a 14 años (039)",328,300,23,5,
"Hombres (040)",227,209,14,4,
"Mujeres (041)",101,91,9,1,
"De 15 a 29 años (042)",3245,2862,334,37,12
"Hombres (043)",2399,2095,265,29,10
"Mujeres (044)",846,767,69,8,2
"De 30 a 44 años (045)",2936,2594,280,45,17
"Hombres (046)",2204,1921,232,37,14
"Mujeres (047)",732,673,48,8,3
"De 45 a 64 años (048)",2099,1907,161,26,5
"Hombres (049)",1528,1381,124,19,4
"Mujeres (050)",571,526,37,7,1
"De 65 y más años (051)",679,647,30,2,
"Hombres (052)",548,522,24,2,
"Mujeres (053)",131,125,6,,
