"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA MAR (000)",27097,9785,17312
"Casa independiente (001)",23528,9345,14183
"Departamento en edificio (002)",44,44,
"Vivienda en quinta (003)",164,164,
"Vivienda en casa de vecindad (004)",117,117,
"Choza o cabaña (005)",3118,,3118
"Vivienda improvisada (006)",63,63,
"Local no dest.para hab. humana (007)",49,40,9
"Otro tipo (008)",14,12,2
