"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,3546,529,231,174
"Hombres (001)",3559,2804,453,175,127
"Mujeres (002)",921,742,76,56,47
"De 06 a 14 años (003)",42,39,2,1,
"Hombres (004)",28,26,2,,
"Mujeres (005)",14,13,,1,
"De 15 a 29 años (006)",1292,1034,159,39,60
"Hombres (007)",1048,841,134,30,43
"Mujeres (008)",244,193,25,9,17
"De 30 a 44 años (009)",1612,1170,234,136,72
"Hombres (010)",1241,897,197,99,48
"Mujeres (011)",371,273,37,37,24
"De 45 a 64 años (012)",1161,954,119,52,36
"Hombres (013)",932,754,105,43,30
"Mujeres (014)",229,200,14,9,6
"De 65 y más años (015)",373,349,15,3,6
"Hombres (016)",310,286,15,3,6
"Mujeres (017)",63,63,,,
,,,,,
"URBANA (018)",986,614,139,129,104
"Hombres (019)",646,379,107,90,70
"Mujeres (020)",340,235,32,39,34
"De 06 a 14 años (021)",10,10,,,
"Hombres (022)",6,6,,,
"Mujeres (023)",4,4,,,
"De 15 a 29 años (024)",240,149,36,18,37
"Hombres (025)",159,97,26,11,25
"Mujeres (026)",81,52,10,7,12
"De 30 a 44 años (027)",428,236,69,80,43
"Hombres (028)",274,143,52,53,26
"Mujeres (029)",154,93,17,27,17
"De 45 a 64 años (030)",244,159,33,31,21
"Hombres (031)",160,90,28,26,16
"Mujeres (032)",84,69,5,5,5
"De 65 y más años (033)",64,60,1,,3
"Hombres (034)",47,43,1,,3
"Mujeres (035)",17,17,,,
,,,,,
"RURAL (036)",3494,2932,390,102,70
"Hombres (037)",2913,2425,346,85,57
"Mujeres (038)",581,507,44,17,13
"De 06 a 14 años (039)",32,29,2,1,
"Hombres (040)",22,20,2,,
"Mujeres (041)",10,9,,1,
"De 15 a 29 años (042)",1052,885,123,21,23
"Hombres (043)",889,744,108,19,18
"Mujeres (044)",163,141,15,2,5
"De 30 a 44 años (045)",1184,934,165,56,29
"Hombres (046)",967,754,145,46,22
"Mujeres (047)",217,180,20,10,7
"De 45 a 64 años (048)",917,795,86,21,15
"Hombres (049)",772,664,77,17,14
"Mujeres (050)",145,131,9,4,1
"De 65 y más años (051)",309,289,14,3,3
"Hombres (052)",263,243,14,3,3
"Mujeres (053)",46,46,,,
