"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AIJA (000)",2185,2121,12,315,350,326,521,345,187,65,64,8786
"De 12 a 14 años (001)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (002)",51,50,1,46,3,,,,,,1,52
"De 20 a 24 años (003)",208,184,1,97,62,20,4,,,,24,297
"De 25 a 29 años (004)",210,192,1,59,58,44,27,3,,,18,444
"De 30 a 34 años (005)",214,208,,27,50,57,61,10,3,,6,653
"De 35 a 39 años (006)",231,228,1,21,51,50,72,22,11,,3,815
"De 40 a 44 años (007)",188,186,,13,28,31,63,41,8,2,2,792
"De 45 a 49 años (008)",199,197,1,11,21,27,62,49,19,7,2,959
"De 50 y más años (009)",882,874,7,40,76,97,232,220,146,56,8,4771
"Conviviente (010)",710,699,3,148,174,120,157,67,22,8,11,2255
"De 15 a 19 años (012)",28,27,,24,3,,,,,,1,30
"De 20 a 24 años (013)",133,126,1,60,46,16,3,,,,7,212
"De 25 a 29 años (014)",118,115,,31,41,20,21,2,,,3,278
"De 30 a 34 años (015)",99,99,,11,24,25,34,4,1,,,318
"De 35 a 39 años (016)",101,101,1,10,29,22,32,5,2,,,327
"De 40 a 44 años (017)",55,55,,3,10,13,19,9,1,,,213
"De 45 a 49 años (018)",59,59,,2,6,7,21,16,4,3,,297
"De 50 y más años (019)",117,117,1,7,15,17,27,31,14,5,,580
"Separado(a) (020)",114,112,,23,31,14,22,18,4,,2,370
"De 15 a 19 años (022)",3,3,,3,,,,,,,,3
"De 20 a 24 años (023)",12,12,,10,2,,,,,,,14
"De 25 a 29 años (024)",11,11,,,6,3,1,1,,,,31
"De 30 a 34 años (025)",18,17,,1,8,4,4,,,,1,47
"De 35 a 39 años (026)",6,6,,1,2,1,1,1,,,,19
