"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHEPEN (000)",26640,17526,3958,3243,1913
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",51,3,10,17,21
"Profes., científicos e intelectuales (002)",1832,512,414,625,281
"Técnicos de nivel medio y trab. asimilados (003)",891,496,110,110,175
"Jefes y empleados de oficina (004)",757,221,102,149,285
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3770,3367,236,118,49
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2366,2017,283,56,10
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1316,1127,111,40,38
"Obreros construc.,conf.,papel, fab., instr. (008)",2851,2317,302,131,101
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12329,7127,2364,1973,865
"Otra (010)",73,,,,73
"Ocupación no especificada (011)",404,339,26,24,15
"Hombres (012)",18992,12535,3097,2191,1169
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",34,2,4,13,15
"Profes., científicos e intelectuales (014)",802,216,192,284,110
"Técnicos de nivel medio y trab. asimilados (015)",578,349,84,74,71
"Jefes y empleados de oficina (016)",355,84,47,78,146
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1868,1601,142,87,38
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2228,1898,265,55,10
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1129,957,101,37,34
"Obreros construc.,conf.,papel, fab., instr. (020)",2802,2284,299,124,95
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8991,5040,1951,1428,572
"Otra (022)",71,,,,71
"Ocupación no especificada (023)",134,104,12,11,7
"Mujeres (024)",7648,4991,861,1052,744
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,1,6,4,6
"Profes., científicos e intelectuales (026)",1030,296,222,341,171
"Técnicos de nivel medio y trab. asimilados (027)",313,147,26,36,104
"Jefes y empleados de oficina (028)",402,137,55,71,139
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1902,1766,94,31,11
"Agricult.trabaj.calif.agrop.y pesqueros (030)",138,119,18,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",187,170,10,3,4
"Obreros construc.,conf.,papel, fab., instr. (032)",49,33,3,7,6
