"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PASCO (000)",5843,4125,1718
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",221,221,
"Casa pensión (003)",245,242,3
"Hospital, clinica (004)",285,285,
"Cárcel, centro de readaptación social (005)",126,126,
"Aldea infantil, orfelinato, etc (007)",68,68,
"Otro (008)",3925,2354,1571
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",973,829,144
