"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN ROMAN (000)",59029,238281,53099,218183,5930,20098
"Casa independiente (001)",52118,213002,46430,193636,5688,19366
"Departamento en edificio (002)",689,2475,689,2475,,
"Vivienda en quinta (003)",684,2738,684,2738,,
"Vivienda en casa de vecindad (004)",5208,19087,5208,19087,,
"Choza o cabaña (005)",241,727,,,241,727
"Vivienda improvisada (006)",16,48,16,48,,
"Local no dest.para hab. humana (007)",54,155,53,150,1,5
"Otro tipo (008)",19,49,19,49,,
