"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia BARRANCA (000)",50198,99,4108,2185,1860,9279,4033,4123,6374,17153,227,757
"Agric., ganadería, caza y silvicultura (001)",12552,4,73,56,21,9,3670,12,63,8644,,
"Pesca (002)",806,,8,10,11,,363,11,24,379,,
"Explotación de minas y canteras (003)",111,1,5,10,6,1,,44,2,42,,
"Industrias manufactureras (004)",4189,4,119,302,196,38,,2709,301,520,,
"Suministro de electricidad, gas y agua (005)",124,3,10,15,28,,,21,14,33,,
"Construcción (006)",2757,1,41,84,11,,,164,1915,541,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",10710,9,99,305,92,6925,,1044,115,2121,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1172,,10,34,15,219,,809,58,27,,
"Comercio al por mayor (009)",551,5,29,36,29,365,,2,10,75,,
"Comercio al por menor (010)",8987,4,60,235,48,6341,,233,47,2019,,
"Hoteles y restaurantes (011)",2776,2,25,103,87,1498,,,,1061,,
"Trans., almac. y comunicaciones (012)",5096,6,49,102,158,58,,44,3817,862,,
"Intermediación financiera (013)",233,2,23,39,155,,,,1,13,,
"Activid.inmobil., empres. y alquileres (014)",2274,4,493,448,332,421,,29,49,498,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1308,25,182,125,417,50,,6,46,230,227,
"Enseñanza (016)",2650,37,2468,10,92,,,,,43,,
"Servicios sociales y de salud (017)",693,,305,241,79,18,,3,4,43,,
"Otras activ. serv.comun.soc y personales (018)",1969,1,201,320,147,260,,36,21,983,,
"Hogares privados con servicio doméstico (019)",1141,,1,2,,1,,,,1137,,
"Actividad economica no especificada (021)",809,,6,13,28,,,,2,3,,757
"Hombres (022)",33646,58,1996,1453,914,3906,3570,3575,6267,11338,216,353
"Agric., ganadería, caza y silvicultura (023)",10046,2,64,51,15,,3211,10,63,6630,,
"Pesca (024)",790,,7,7,11,,359,11,24,371,,
"Explotación de minas y canteras (025)",101,1,3,7,5,1,,41,2,41,,
"Industrias manufactureras (026)",3348,3,95,244,115,17,,2191,270,413,,
"Suministro de electricidad, gas y agua (027)",100,3,8,14,10,,,20,14,31,,
"Construcción (028)",2724,1,38,81,8,,,164,1897,535,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5330,7,59,205,41,2910,,1024,114,970,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1090,,9,30,9,163,,796,57,26,,
"Comercio al por mayor (031)",351,5,13,22,14,221,,2,10,64,,
"Comercio al por menor (032)",3889,2,37,153,18,2526,,226,47,880,,
"Hoteles y restaurantes (033)",858,1,17,57,51,430,,,,302,,
"Trans., almac. y comunicaciones (034)",4756,5,36,76,91,2,,44,3769,733,,
"Intermediación financiera (035)",147,1,19,21,95,,,,1,10,,
"Activid.inmobil., empres. y alquileres (036)",1706,2,348,333,135,413,,28,48,399,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",857,17,89,51,213,49,,6,39,177,216,
"Enseñanza (038)",1019,14,947,5,24,,,,,29,,
"Servicios sociales y de salud (039)",220,,106,57,33,1,,3,4,16,,
"Otras activ. serv.comun.soc y personales (040)",1233,1,157,233,63,83,,33,21,642,,
"Hogares privados con servicio doméstico (041)",36,,,,,,,,,36,,
"Actividad economica no especificada (043)",375,,3,11,4,,,,1,3,,353
"Mujeres (044)",16552,41,2112,732,946,5373,463,548,107,5815,11,404
"Agric., ganadería, caza y silvicultura (045)",2506,2,9,5,6,9,459,2,,2014,,
"Pesca (046)",16,,1,3,,,4,,,8,,
"Explotación de minas y canteras (047)",10,,2,3,1,,,3,,1,,
"Industrias manufactureras (048)",841,1,24,58,81,21,,518,31,107,,
"Suministro de electricidad, gas y agua (049)",24,,2,1,18,,,1,,2,,
"Construcción (050)",33,,3,3,3,,,,18,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",5380,2,40,100,51,4015,,20,1,1151,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",82,,1,4,6,56,,13,1,1,,
"Comercio al por mayor (053)",200,,16,14,15,144,,,,11,,
"Comercio al por menor (054)",5098,2,23,82,30,3815,,7,,1139,,
"Hoteles y restaurantes (055)",1918,1,8,46,36,1068,,,,759,,
"Trans., almac. y comunicaciones (056)",340,1,13,26,67,56,,,48,129,,
"Intermediación financiera (057)",86,1,4,18,60,,,,,3,,
"Activid.inmobil., empres. y alquileres (058)",568,2,145,115,197,8,,1,1,99,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",451,8,93,74,204,1,,,7,53,11,
"Enseñanza (060)",1631,23,1521,5,68,,,,,14,,
"Servicios sociales y de salud (061)",473,,199,184,46,17,,,,27,,
"Otras activ. serv.comun.soc y personales (062)",736,,44,87,84,177,,3,,341,,
"Hogares privados con servicio doméstico (063)",1105,,1,2,,1,,,,1101,,
