"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PATAZ (000)",22552,339,8085,8140,4534,1454
"Agric., ganadería, caza y silvicultura (001)",9939,218,2926,3066,2574,1155
"Pesca (002)",8,,4,2,2,
"Explotación de minas y canteras (003)",5283,23,2542,2183,504,31
"Industrias manufactureras (004)",538,12,172,189,116,49
"Suministro de electricidad, gas y agua (005)",56,,20,22,13,1
"Construcción (006)",955,2,384,339,205,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1232,30,355,477,295,75
"Venta, mant.y rep. veh.autom.y motoc. (008)",86,,38,31,16,1
"Comercio al por mayor (009)",89,3,30,32,20,4
"Comercio al por menor (010)",1057,27,287,414,259,70
"Hoteles y restaurantes (011)",468,11,204,155,90,8
"Trans., almac. y comunicaciones (012)",508,2,235,195,72,4
"Intermediación financiera (013)",6,,3,3,,
"Activid.inmobil., empres. y alquileres (014)",330,,140,131,53,6
"Admin.pub. y defensa; p. segur.soc.afil (015)",451,,169,178,96,8
"Enseñanza (016)",1167,,253,665,243,6
"Servicios sociales y de salud (017)",134,,33,75,23,3
"Otras activ. serv.comun.soc y personales (018)",224,4,77,91,42,10
"Hogares privados con servicio doméstico (019)",429,32,263,84,41,9
"Actividad economica no especificada (021)",824,5,305,285,165,64
"Hombres (022)",19156,245,6864,6941,3842,1264
"Agric., ganadería, caza y silvicultura (023)",9324,178,2743,2929,2409,1065
"Pesca (024)",8,,4,2,2,
"Explotación de minas y canteras (025)",5189,22,2489,2151,497,30
"Industrias manufactureras (026)",461,12,149,165,92,43
"Suministro de electricidad, gas y agua (027)",54,,20,20,13,1
"Construcción (028)",947,2,381,336,203,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",689,18,201,258,162,50
"Venta, mant.y rep. veh.autom.y motoc. (030)",84,,37,30,16,1
"Comercio al por mayor (031)",54,3,19,20,9,3
"Comercio al por menor (032)",551,15,145,208,137,46
"Hoteles y restaurantes (033)",141,3,67,51,19,1
"Trans., almac. y comunicaciones (034)",484,,220,192,68,4
"Intermediación financiera (035)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (036)",248,,91,108,43,6
"Admin.pub. y defensa; p. segur.soc.afil (037)",348,,112,148,81,7
"Enseñanza (038)",598,,111,338,146,3
"Servicios sociales y de salud (039)",61,,11,33,15,2
"Otras activ. serv.comun.soc y personales (040)",113,1,42,46,19,5
