"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHINCHA (000)",74839,18541,27598,24009,1023,2075,1593
"Sin nivel (001)",901,41,254,461,13,92,40
"Educación inicial (002)",45,2,33,8,,,2
"Primaria (003)",12003,655,4552,5550,164,603,479
"Secundaria (004)",35252,4590,16752,11719,407,957,827
"Superior no univ. incompleta (005)",6056,1758,2144,1814,93,148,99
"Superior no univ. completa (006)",10878,5764,2510,2234,146,139,85
"Superior univ. incompleta (007)",3008,1311,665,866,68,68,30
"Superior univ. completa (008)",6696,4420,688,1357,132,68,31
"Hombres (010)",48544,10776,19992,16165,737,712,162
"Sin nivel (011)",332,18,149,140,4,16,5
"Educación inicial (012)",32,1,25,5,,,1
"Primaria (013)",6851,405,3060,3102,101,153,30
"Secundaria (014)",25070,3261,12462,8552,299,395,101
"Superior no univ. incompleta (015)",3949,1083,1504,1235,73,45,9
"Superior no univ. completa (016)",6317,2848,1803,1505,111,42,8
"Superior univ. incompleta (017)",2026,798,491,647,53,31,6
"Superior univ. completa (018)",3967,2362,498,979,96,30,2
"Mujeres (020)",26295,7765,7606,7844,286,1363,1431
"Sin nivel (021)",569,23,105,321,9,76,35
"Educación inicial (022)",13,1,8,3,,,1
"Primaria (023)",5152,250,1492,2448,63,450,449
"Secundaria (024)",10182,1329,4290,3167,108,562,726
"Superior no univ. incompleta (025)",2107,675,640,579,20,103,90
"Superior no univ. completa (026)",4561,2916,707,729,35,97,77
"Superior univ. incompleta (027)",982,513,174,219,15,37,24
"Superior univ. completa (028)",2729,2058,190,378,36,38,29
,,,,,,,
"URBANA (030)",67055,17770,23492,21769,937,1586,1501
"Sin nivel (031)",600,39,178,315,9,23,36
"Educación inicial (032)",41,2,29,8,,,2
"Primaria (033)",9734,602,3430,4710,140,407,445
"Secundaria (034)",31350,4339,14352,10735,371,774,779
"Superior no univ. incompleta (035)",5684,1678,1955,1733,88,131,99
"Superior no univ. completa (036)",10284,5530,2286,2122,140,125,81
"Superior univ. incompleta (037)",2909,1278,637,838,65,62,29
"Superior univ. completa (038)",6453,4302,625,1308,124,64,30
"Hombres (040)",43031,10243,16888,14536,673,544,147
"Sin nivel (041)",246,17,104,111,4,7,3
"Educación inicial (042)",28,1,21,5,,,1
"Primaria (043)",5394,367,2290,2517,84,110,26
"Secundaria (044)",22041,3058,10566,7753,271,301,92
"Superior no univ. incompleta (045)",3672,1030,1355,1170,69,39,9
"Superior no univ. completa (046)",5895,2702,1635,1410,106,34,8
"Superior univ. incompleta (047)",1953,777,467,626,50,27,6
"Superior univ. completa (048)",3802,2291,450,944,89,26,2
"Mujeres (050)",24024,7527,6604,7233,264,1042,1354
"Sin nivel (051)",354,22,74,204,5,16,33
"Educación inicial (052)",13,1,8,3,,,1
"Primaria (053)",4340,235,1140,2193,56,297,419
"Secundaria (054)",9309,1281,3786,2982,100,473,687
"Superior no univ. incompleta (055)",2012,648,600,563,19,92,90
"Superior no univ. completa (056)",4389,2828,651,712,34,91,73
"Superior univ. incompleta (057)",956,501,170,212,15,35,23
"Superior univ. completa (058)",2651,2011,175,364,35,38,28
,,,,,,,
"RURAL (060)",7784,771,4106,2240,86,489,92
"Sin nivel (061)",301,2,76,146,4,69,4
"Educación inicial (062)",4,,4,,,,
"Primaria (063)",2269,53,1122,840,24,196,34
"Secundaria (064)",3902,251,2400,984,36,183,48
"Superior no univ. incompleta (065)",372,80,189,81,5,17,
"Superior no univ. completa (066)",594,234,224,112,6,14,4
"Superior univ. incompleta (067)",99,33,28,28,3,6,1
"Superior univ. completa (068)",243,118,63,49,8,4,1
"Hombres (070)",5513,533,3104,1629,64,168,15
"Sin nivel (071)",86,1,45,29,,9,2
"Educación inicial (072)",4,,4,,,,
"Primaria (073)",1457,38,770,585,17,43,4
"Secundaria (074)",3029,203,1896,799,28,94,9
"Superior no univ. incompleta (075)",277,53,149,65,4,6,
"Superior no univ. completa (076)",422,146,168,95,5,8,
"Superior univ. incompleta (077)",73,21,24,21,3,4,
"Superior univ. completa (078)",165,71,48,35,7,4,
"Mujeres (080)",2271,238,1002,611,22,321,77
"Sin nivel (081)",215,1,31,117,4,60,2
"Primaria (083)",812,15,352,255,7,153,30
"Secundaria (084)",873,48,504,185,8,89,39
"Superior no univ. incompleta (085)",95,27,40,16,1,11,
"Superior no univ. completa (086)",172,88,56,17,1,6,4
"Superior univ. incompleta (087)",26,12,4,7,,2,1
"Superior univ. completa (088)",78,47,15,14,1,,1
