"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",4193,4102,20,583,628,543,986,781,424,137,91,17919
"De 12 a 14 años (001)",4,1,,,1,,,,,,3,2
"De 15 a 19 años (002)",98,93,2,75,15,1,,,,,5,108
"De 20 a 24 años (003)",403,368,2,195,115,50,3,3,,,35,606
"De 25 a 29 años (004)",460,441,1,116,136,111,72,5,,,19,1064
"De 30 a 34 años (005)",405,399,2,32,107,80,132,41,5,,6,1371
"De 35 a 39 años (006)",441,440,,29,52,88,154,78,32,7,1,1933
"De 40 a 44 años (007)",387,378,1,14,39,49,108,92,58,17,9,1981
"De 45 a 49 años (008)",366,366,1,17,29,32,98,93,72,24,,2069
"De 50 y más años (009)",1629,1616,11,105,134,132,419,469,257,89,13,8785
"Sin nivel (010)",1513,1499,10,98,116,136,418,410,237,74,14,8039
"De 15 a 19 años (012)",2,2,,1,1,,,,,,,3
"De 20 a 24 años (013)",25,25,1,7,8,6,1,2,,,,58
"De 25 a 29 años (014)",32,31,,3,4,13,10,1,,,1,100
"De 30 a 34 años (015)",60,60,1,3,9,10,27,8,2,,,239
"De 35 a 39 años (016)",93,93,,6,5,9,32,20,16,5,,509
"De 40 a 44 años (017)",94,89,,4,5,5,22,24,24,5,5,535
"De 45 a 49 años (018)",104,104,,6,5,8,29,24,21,11,,624
"De 50 y más años (019)",1103,1095,8,68,79,85,297,331,174,53,8,5971
"Educacion Inicial (020)",7,7,,1,,3,3,,,,,24
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",3,3,,,,1,2,,,,,12
"De 30 a 34 años (025)",2,2,,,,1,1,,,,,8
