"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PARINACOCHAS (000)",26146,6433,7065,5365,4395,2888
"Sin nivel (001)",3501,143,156,566,1121,1515
"Educación inicial (002)",566,543,18,5,,
"Primaria (003)",10161,4655,1201,1622,1660,1023
"Secundaria (004)",7614,1092,3967,1532,810,213
"Superior no univ. incompleta (005)",1230,,788,319,101,22
"Superior no univ. completa (006)",1951,,682,828,378,63
"Superior univ. incompleta (007)",338,,118,137,76,7
"Superior univ. completa (008)",785,,135,356,249,45
"PEA (010)",10292,203,3149,3412,2583,945
"Sin nivel (011)",1141,3,52,262,456,368
"Educación inicial (012)",18,5,9,4,,
"Primaria (013)",2881,122,541,832,946,440
"Secundaria (014)",3282,73,1603,981,541,84
"Superior no univ. incompleta (015)",586,,275,218,82,11
"Superior no univ. completa (016)",1508,,506,690,290,22
"Superior univ. incompleta (017)",238,,62,112,57,7
"Superior univ. completa (018)",638,,101,313,211,13
"Ocupada (020)",10001,198,2992,3331,2545,935
"Sin nivel (021)",1123,3,50,256,449,365
"Educación inicial (022)",18,5,9,4,,
"Primaria (023)",2809,119,515,809,928,438
"Secundaria (024)",3175,71,1531,957,533,83
"Superior no univ. incompleta (025)",558,,255,210,82,11
"Superior no univ. completa (026)",1462,,477,677,287,21
"Superior univ. incompleta (027)",234,,59,111,57,7
"Superior univ. completa (028)",622,,96,307,209,10
"Desocupada (030)",291,5,157,81,38,10
"Sin nivel (031)",18,,2,6,7,3
