"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,1069,7927,5222,172,1789,181
"Sin nivel (001)",1171,16,189,625,5,324,12
"Educación inicial (002)",18,1,14,2,,1,
"Primaria (003)",4992,110,2032,2016,38,731,65
"Secundaria (004)",8216,347,4931,2126,90,633,89
"Superior no univ. incompleta (005)",568,85,296,145,6,28,8
"Superior no univ. completa (006)",497,143,196,122,8,26,2
"Superior univ. incompleta (007)",318,51,160,76,4,24,3
"Superior univ. completa (008)",580,316,109,110,21,22,2
"Hombres (010)",12036,672,7289,3057,117,862,39
"Sin nivel (011)",522,6,127,278,1,108,2
"Educación inicial (012)",12,1,10,,,1,
"Primaria (013)",3315,47,1742,1174,19,320,13
"Secundaria (014)",6627,187,4672,1314,63,375,16
"Superior no univ. incompleta (015)",459,59,287,85,6,19,3
"Superior no univ. completa (016)",390,102,189,76,8,14,1
"Superior univ. incompleta (017)",255,35,156,48,2,12,2
"Superior univ. completa (018)",456,235,106,82,18,13,2
"Mujeres (020)",4324,397,638,2165,55,927,142
"Sin nivel (021)",649,10,62,347,4,216,10
"Educación inicial (022)",6,,4,2,,,
"Primaria (023)",1677,63,290,842,19,411,52
"Secundaria (024)",1589,160,259,812,27,258,73
"Superior no univ. incompleta (025)",109,26,9,60,,9,5
"Superior no univ. completa (026)",107,41,7,46,,12,1
"Superior univ. incompleta (027)",63,16,4,28,2,12,1
"Superior univ. completa (028)",124,81,3,28,3,9,
,,,,,,,
"URBANA (030)",11369,942,6223,3270,150,627,157
"Sin nivel (031)",405,15,113,215,4,48,10
"Educación inicial (032)",16,1,12,2,,1,
"Primaria (033)",3134,99,1592,1108,34,244,57
"Secundaria (034)",6219,306,3919,1569,77,272,76
"Superior no univ. incompleta (035)",481,77,252,121,6,18,7
"Superior no univ. completa (036)",372,126,129,92,7,16,2
"Superior univ. incompleta (037)",252,40,122,70,4,13,3
"Superior univ. completa (038)",490,278,84,93,18,15,2
"Hombres (040)",8394,596,5740,1676,100,249,33
"Sin nivel (041)",148,6,71,57,,12,2
"Educación inicial (042)",10,1,8,,,1,
"Primaria (043)",2011,45,1365,491,16,84,10
"Secundaria (044)",4972,166,3727,889,53,124,13
"Superior no univ. incompleta (045)",387,52,244,69,6,13,3
"Superior no univ. completa (046)",287,92,125,58,7,4,1
"Superior univ. incompleta (047)",201,31,119,44,2,3,2
"Superior univ. completa (048)",378,203,81,68,16,8,2
"Mujeres (050)",2975,346,483,1594,50,378,124
"Sin nivel (051)",257,9,42,158,4,36,8
"Educación inicial (052)",6,,4,2,,,
"Primaria (053)",1123,54,227,617,18,160,47
"Secundaria (054)",1247,140,192,680,24,148,63
"Superior no univ. incompleta (055)",94,25,8,52,,5,4
"Superior no univ. completa (056)",85,34,4,34,,12,1
"Superior univ. incompleta (057)",51,9,3,26,2,10,1
"Superior univ. completa (058)",112,75,3,25,2,7,
,,,,,,,
"RURAL (060)",4991,127,1704,1952,22,1162,24
"Sin nivel (061)",766,1,76,410,1,276,2
"Educación inicial (062)",2,,2,,,,
"Primaria (063)",1858,11,440,908,4,487,8
"Secundaria (064)",1997,41,1012,557,13,361,13
"Superior no univ. incompleta (065)",87,8,44,24,,10,1
"Superior no univ. completa (066)",125,17,67,30,1,10,
"Superior univ. incompleta (067)",66,11,38,6,,11,
"Superior univ. completa (068)",90,38,25,17,3,7,
"Hombres (070)",3642,76,1549,1381,17,613,6
"Sin nivel (071)",374,,56,221,1,96,
"Educación inicial (072)",2,,2,,,,
"Primaria (073)",1304,2,377,683,3,236,3
"Secundaria (074)",1655,21,945,425,10,251,3
"Superior no univ. incompleta (075)",72,7,43,16,,6,
"Superior no univ. completa (076)",103,10,64,18,1,10,
"Superior univ. incompleta (077)",54,4,37,4,,9,
"Superior univ. completa (078)",78,32,25,14,2,5,
"Mujeres (080)",1349,51,155,571,5,549,18
"Sin nivel (081)",392,1,20,189,,180,2
"Primaria (083)",554,9,63,225,1,251,5
"Secundaria (084)",342,20,67,132,3,110,10
"Superior no univ. incompleta (085)",15,1,1,8,,4,1
"Superior no univ. completa (086)",22,7,3,12,,,
"Superior univ. incompleta (087)",12,7,1,2,,2,
"Superior univ. completa (088)",12,6,,3,1,2,
