"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAÑETE (000)",82659,51309,9779,10101,11470
"Agric., ganadería, caza y silvicultura (001)",26858,16139,4231,4417,2071
"Pesca (002)",567,485,44,17,21
"Explotación de minas y canteras (003)",1017,89,69,171,688
"Industrias manufactureras (004)",3787,2029,342,395,1021
"Suministro de electricidad, gas y agua (005)",207,68,29,48,62
"Construcción (006)",6817,3609,1337,943,928
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14188,12817,793,401,177
"Venta, mant.y rep. veh.autom y motoc. (008)",1490,1210,143,61,76
"Comercio al por mayor (009)",924,595,127,101,101
"Comercio al por menor (010)",11774,11012,523,239,
"Hoteles y restaurantes (011)",3926,3326,362,195,43
"Trans., almac. y comunicaciones (012)",6989,5431,580,499,479
"Intermediación financiera (013)",299,64,40,116,79
"Activid.inmobil., empres. y alquileres (014)",3658,1668,596,822,572
"Admin.pub. y defensa; p. segur soc.afil (015)",2742,,,,2742
"Enseñanza (016)",4345,561,762,1519,1503
"Servicios sociales y de salud (017)",1432,433,100,78,821
"Otras activ. serv.comun.soc y personales (018)",2509,1564,391,381,173
"Hogares privados con servicio doméstico (019)",2245,2245,,,
"Organiz. y organos extraterritoriales (020)",1,,,,1
"Actividad economica no especificada (021)",1072,781,103,99,89
"Hombres (022)",53037,32378,6892,6440,7327
"Agric., ganadería, caza y silvicultura (023)",18647,12200,2806,2459,1182
"Pesca (024)",539,458,43,17,21
"Explotación de minas y canteras (025)",983,84,64,166,669
"Industrias manufactureras (026)",2913,1571,282,301,759
"Suministro de electricidad, gas y agua (027)",172,59,27,41,45
"Construcción (028)",6708,3557,1322,917,912
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6582,5659,505,279,139
"Venta, mant.y rep. veh.autom y motoc. (030)",1359,1111,120,55,73
"Comercio al por mayor (031)",553,318,95,74,66
"Comercio al por menor (032)",4670,4230,290,150,
"Hoteles y restaurantes (033)",1096,830,145,97,24
"Trans., almac. y comunicaciones (034)",6548,5132,535,452,429
"Intermediación financiera (035)",144,36,19,50,39
"Activid.inmobil., empres. y alquileres (036)",2813,1263,456,642,452
"Admin.pub. y defensa; p. segur soc.afil (037)",1632,,,,1632
"Enseñanza (038)",1663,153,279,623,608
