"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CARHUAZ (000)",41444,1703,4558,5353,4570,6971,5741,8835,3713
"Sabe leer y escribir (001)",30150,,3333,5241,4386,6146,4524,5199,1321
"No sabe leer y escribir (002)",11294,1703,1225,112,184,825,1217,3636,2392
"Hombres (004)",20002,876,2277,2747,2294,3414,2766,4102,1526
"Sabe leer y escribir (005)",16619,,1653,2708,2253,3271,2553,3321,860
"No sabe leer y escribir (006)",3383,876,624,39,41,143,213,781,666
"Mujeres (008)",21442,827,2281,2606,2276,3557,2975,4733,2187
"Sabe leer y escribir (009)",13531,,1680,2533,2133,2875,1971,1878,461
"No sabe leer y escribir (010)",7911,827,601,73,143,682,1004,2855,1726
,,,,,,,,,
"URBANA (012)",14088,518,1443,1581,1481,2501,2093,3194,1277
"Sabe leer y escribir (013)",11448,,1134,1563,1453,2355,1866,2366,711
"No sabe leer y escribir (014)",2640,518,309,18,28,146,227,828,566
"Hombres (016)",6788,250,705,781,743,1240,1015,1524,530
"Sabe leer y escribir (017)",6031,,547,772,737,1224,984,1365,402
"No sabe leer y escribir (018)",757,250,158,9,6,16,31,159,128
"Mujeres (020)",7300,268,738,800,738,1261,1078,1670,747
"Sabe leer y escribir (021)",5417,,587,791,716,1131,882,1001,309
"No sabe leer y escribir (022)",1883,268,151,9,22,130,196,669,438
,,,,,,,,,
"RURAL (024)",27356,1185,3115,3772,3089,4470,3648,5641,2436
"Sabe leer y escribir (025)",18702,,2199,3678,2933,3791,2658,2833,610
"No sabe leer y escribir (026)",8654,1185,916,94,156,679,990,2808,1826
"Hombres (028)",13214,626,1572,1966,1551,2174,1751,2578,996
"Sabe leer y escribir (029)",10588,,1106,1936,1516,2047,1569,1956,458
"No sabe leer y escribir (030)",2626,626,466,30,35,127,182,622,538
"Mujeres (032)",14142,559,1543,1806,1538,2296,1897,3063,1440
"Sabe leer y escribir (033)",8114,,1093,1742,1417,1744,1089,877,152
"No sabe leer y escribir (034)",6028,559,450,64,121,552,808,2186,1288
