"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ILO (000)",26126,9004,6042,9216,535,681,648
"Sin nivel (001)",410,56,57,248,3,25,21
"Educación inicial (002)",19,3,3,3,3,6,1
"Primaria (003)",2685,264,685,1412,61,151,112
"Secundaria (004)",9247,1880,2882,3678,158,275,374
"Superior no univ. incompleta (005)",2625,816,661,993,39,58,58
"Superior no univ. completa (006)",4933,2301,1048,1355,101,84,44
"Superior univ. incompleta (007)",1878,879,331,552,52,45,19
"Superior univ. completa (008)",4329,2805,375,975,118,37,19
"Hombres (010)",16445,4894,5566,5339,356,256,34
"Sin nivel (011)",111,17,39,45,2,6,2
"Educación inicial (012)",9,2,2,1,,4,
"Primaria (013)",1457,128,602,642,35,47,3
"Secundaria (014)",6420,1137,2688,2337,111,129,18
"Superior no univ. incompleta (015)",1689,420,610,610,25,20,4
"Superior no univ. completa (016)",2997,1132,977,799,64,22,3
"Superior univ. incompleta (017)",1221,529,301,338,37,14,2
"Superior univ. completa (018)",2541,1529,347,567,82,14,2
"Mujeres (020)",9681,4110,476,3877,179,425,614
"Sin nivel (021)",299,39,18,203,1,19,19
"Educación inicial (022)",10,1,1,2,3,2,1
"Primaria (023)",1228,136,83,770,26,104,109
"Secundaria (024)",2827,743,194,1341,47,146,356
"Superior no univ. incompleta (025)",936,396,51,383,14,38,54
"Superior no univ. completa (026)",1936,1169,71,556,37,62,41
"Superior univ. incompleta (027)",657,350,30,214,15,31,17
"Superior univ. completa (028)",1788,1276,28,408,36,23,17
,,,,,,,
"URBANA (030)",25791,8835,5962,9148,534,666,646
"Sin nivel (031)",409,56,57,247,3,25,21
"Educación inicial (032)",19,3,3,3,3,6,1
"Primaria (033)",2648,262,673,1393,61,148,111
"Secundaria (034)",9126,1843,2837,3649,157,267,373
"Superior no univ. incompleta (035)",2613,812,655,992,39,57,58
"Superior no univ. completa (036)",4867,2250,1037,1352,101,83,44
"Superior univ. incompleta (037)",1854,866,327,545,52,45,19
"Superior univ. completa (038)",4255,2743,373,967,118,35,19
"Hombres (040)",16173,4749,5489,5297,355,249,34
"Sin nivel (041)",111,17,39,45,2,6,2
"Educación inicial (042)",9,2,2,1,,4,
"Primaria (043)",1433,126,591,632,35,46,3
"Secundaria (044)",6319,1103,2644,2318,110,126,18
"Superior no univ. incompleta (045)",1677,416,604,609,25,19,4
"Superior no univ. completa (046)",2943,1093,966,796,64,21,3
"Superior univ. incompleta (047)",1201,518,297,333,37,14,2
"Superior univ. completa (048)",2480,1474,346,563,82,13,2
"Mujeres (050)",9618,4086,473,3851,179,417,612
"Sin nivel (051)",298,39,18,202,1,19,19
"Educación inicial (052)",10,1,1,2,3,2,1
"Primaria (053)",1215,136,82,761,26,102,108
"Secundaria (054)",2807,740,193,1331,47,141,355
"Superior no univ. incompleta (055)",936,396,51,383,14,38,54
"Superior no univ. completa (056)",1924,1157,71,556,37,62,41
"Superior univ. incompleta (057)",653,348,30,212,15,31,17
"Superior univ. completa (058)",1775,1269,27,404,36,22,17
,,,,,,,
"RURAL (060)",335,169,80,68,1,15,2
"Sin nivel (061)",1,,,1,,,
"Primaria (063)",37,2,12,19,,3,1
"Secundaria (064)",121,37,45,29,1,8,1
"Superior no univ. incompleta (065)",12,4,6,1,,1,
"Superior no univ. completa (066)",66,51,11,3,,1,
"Superior univ. incompleta (067)",24,13,4,7,,,
"Superior univ. completa (068)",74,62,2,8,,2,
"Hombres (070)",272,145,77,42,1,7,
"Primaria (073)",24,2,11,10,,1,
"Secundaria (074)",101,34,44,19,1,3,
"Superior no univ. incompleta (075)",12,4,6,1,,1,
"Superior no univ. completa (076)",54,39,11,3,,1,
"Superior univ. incompleta (077)",20,11,4,5,,,
"Superior univ. completa (078)",61,55,1,4,,1,
"Mujeres (080)",63,24,3,26,,8,2
"Sin nivel (081)",1,,,1,,,
"Primaria (083)",13,,1,9,,2,1
"Secundaria (084)",20,3,1,10,,5,1
"Superior no univ. completa (086)",12,12,,,,,
"Superior univ. incompleta (087)",4,2,,2,,,
"Superior univ. completa (088)",13,7,1,4,,1,
