"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ABANCAY (000)",36040,99815,90152,,1565,90.3,1.6
"De 12 a 14 años (001)",3886,19,19,,3,100,15.8
"De 15 a 19 años (002)",5196,665,654,181,98.3,27.2,
"De 20 a 24 años (003)",4356,3087,3031,374,98.2,12.1,
"De 25 a 29 años (004)",3625,5448,5352,379,98.2,7,
"De 30 a 34 años (005)",3408,8471,8224,303,97.1,3.6,
"De 35 a 39 años (006)",3138,10820,10394,216,96.1,2,
"De 40 a 44 años (007)",2688,11793,11045,91,93.7,0.8,
"De 45 a 49 años (008)",2195,11159,10294,18,92.2,0.2,
"De 50 y más años (009)",7548,48353,41139,,85.1,,
"Conviviente (010)",8429,20225,19242,986,95.1,4.9,
"De 12 a 14 años (011)",47,9,9,,100,,
"De 15 a 19 años (012)",739,485,477,139,98.4,28.7,
"De 20 a 24 años (013)",1822,2181,2141,280,98.2,12.8,
"De 25 a 29 años (014)",1912,3384,3339,268,98.7,7.9,
"De 30 a 34 años (015)",1490,3769,3680,178,97.6,4.7,
"De 35 a 39 años (016)",1028,3417,3314,89,97,2.6,
"De 40 a 44 años (017)",563,2410,2264,25,93.9,1,
"De 45 a 49 años (018)",322,1549,1437,7,92.8,0.5,
"De 50 y más años (019)",506,3021,2581,,85.4,,
"Separado(a) (020)",1460,4449,4187,77,94.1,1.7,
"De 12 a 14 años (021)",3,2,2,2,100,100,
"De 15 a 19 años (022)",67,64,63,17,98.4,26.6,
"De 20 a 24 años (023)",170,221,220,26,99.5,11.8,
"De 25 a 29 años (024)",212,353,350,18,99.2,5.1,
"De 30 a 34 años (025)",198,459,437,7,95.2,1.5,
"De 35 a 39 años (026)",186,528,512,4,97,0.8,
"De 40 a 44 años (027)",168,650,615,3,94.6,0.5,
"De 45 a 49 años (028)",148,607,582,,95.9,,
"De 50 y más años (029)",308,1565,1406,,89.8,,
"Casado(a) (030)",11129,56595,51239,410,90.5,0.7,
"De 12 a 14 años (031)",5,2,2,,100,,
"De 15 a 19 años (032)",40,38,37,3,97.4,7.9,
"De 20 a 24 años (033)",239,389,382,28,98.2,7.2,
"De 25 a 29 años (034)",629,1392,1350,82,97,5.9,
"De 30 a 34 años (035)",1253,3831,3704,108,96.7,2.8,
"De 35 a 39 años (036)",1614,6399,6110,118,95.5,1.8,
