"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARMEY (000)",10485,7213,990,889,1393
"Agric., ganadería, caza y silvicultura (001)",3086,2357,370,178,181
"Pesca (002)",778,605,72,60,41
"Explotación de minas y canteras (003)",112,37,10,43,22
"Industrias manufactureras (004)",610,349,38,67,156
"Suministro de electricidad, gas y agua (005)",23,3,4,9,7
"Construcción (006)",681,336,96,84,165
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1591,1473,66,31,21
"Venta, mant.y rep. veh.autom y motoc. (008)",157,107,19,14,17
"Comercio al por mayor (009)",43,27,3,9,4
"Comercio al por menor (010)",1391,1339,44,8,
"Hoteles y restaurantes (011)",555,479,51,19,6
"Trans., almac. y comunicaciones (012)",879,735,46,46,52
"Intermediación financiera (013)",8,,2,3,3
"Activid.inmobil., empres. y alquileres (014)",434,165,63,114,92
"Admin.pub. y defensa; p. segur soc.afil (015)",356,,,,356
"Enseñanza (016)",559,131,94,177,157
"Servicios sociales y de salud (017)",110,26,9,8,67
"Otras activ. serv.comun.soc y personales (018)",250,186,33,14,17
"Hogares privados con servicio doméstico (019)",96,96,,,
"Actividad economica no especificada (021)",357,235,36,36,50
"Hombres (022)",7547,5166,724,672,985
"Agric., ganadería, caza y silvicultura (023)",2685,2113,283,129,160
"Pesca (024)",757,598,71,55,33
"Explotación de minas y canteras (025)",111,37,9,43,22
"Industrias manufactureras (026)",438,246,34,55,103
"Suministro de electricidad, gas y agua (027)",22,3,4,9,6
"Construcción (028)",659,333,95,78,153
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",687,611,32,26,18
"Venta, mant.y rep. veh.autom y motoc. (030)",149,101,17,14,17
"Comercio al por mayor (031)",28,17,3,7,1
"Comercio al por menor (032)",510,493,12,5,
"Hoteles y restaurantes (033)",175,137,18,16,4
"Trans., almac. y comunicaciones (034)",827,695,41,43,48
"Intermediación financiera (035)",4,,1,1,2
"Activid.inmobil., empres. y alquileres (036)",332,117,52,96,67
"Admin.pub. y defensa; p. segur soc.afil (037)",219,,,,219
"Enseñanza (038)",245,40,45,79,81
"Servicios sociales y de salud (039)",39,13,3,3,20
"Otras activ. serv.comun.soc y personales (040)",148,104,23,9,12
"Hogares privados con servicio doméstico (041)",9,9,,,
