"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CALCA (000)",61513,3150,7969,8834,6416,9754,8452,12808,4130
"Sin nivel (001)",12525,3150,1056,98,178,821,1287,3612,2323
"Educación inicial (002)",1775,,1674,26,10,34,31,,
"Primaria (003)",26356,,5239,6250,1411,3059,3500,5530,1367
"Secundaria (004)",15841,,,2460,4357,3934,2438,2379,273
"Superior no univ. incompleto (005)",1407,,,,271,670,242,205,19
"Superior no univ. completo (006)",1444,,,,,553,463,380,48
"Superior univ. incompleto (007)",959,,,,189,400,129,214,27
"Superior univ. completo (008)",1206,,,,,283,362,488,73
"Hombres (010)",30990,1626,4057,4548,3389,4952,4169,6374,1875
"Sin nivel (011)",4448,1626,521,36,59,213,340,928,725
"Educación inicial (012)",906,,858,15,3,19,11,,
"Primaria (013)",13633,,2678,3205,665,1411,1708,3115,851
"Secundaria (014)",9233,,,1292,2432,2299,1481,1543,186
"Superior no univ. incompleto (015)",799,,,,139,366,147,135,12
"Superior no univ. completo (016)",741,,,,,271,228,214,28
"Superior univ. incompleto (017)",575,,,,91,247,69,149,19
"Superior univ. completo (018)",655,,,,,126,185,290,54
"Mujeres (020)",30523,1524,3912,4286,3027,4802,4283,6434,2255
"Sin nivel (021)",8077,1524,535,62,119,608,947,2684,1598
"Educación inicial (022)",869,,816,11,7,15,20,,
"Primaria (023)",12723,,2561,3045,746,1648,1792,2415,516
"Secundaria (024)",6608,,,1168,1925,1635,957,836,87
"Superior no univ. incompleto (025)",608,,,,132,304,95,70,7
"Superior no univ. completo (026)",703,,,,,282,235,166,20
"Superior univ. incompleto (027)",384,,,,98,153,60,65,8
"Superior univ. completo (028)",551,,,,,157,177,198,19
,,,,,,,,,
"URBANA (030)",21997,909,2407,3090,2531,3756,3216,4594,1494
"Sin nivel (031)",2171,909,137,12,13,73,113,461,453
"Educación inicial (032)",530,,499,12,3,11,5,,
"Primaria (033)",7511,,1771,1856,228,547,869,1553,687
"Secundaria (034)",7772,,,1210,1926,1674,1270,1484,208
"Superior no univ. incompleto (035)",1011,,,,201,453,188,156,13
